,NAME,Estimate!!Total,Estimate!!Total!!Owner occupied,"Estimate!!Total!!Owner occupied!!Less than $5,000","Estimate!!Total!!Owner occupied!!$5,000 to $9,999","Estimate!!Total!!Owner occupied!!$10,000 to $14,999","Estimate!!Total!!Owner occupied!!$15,000 to $19,999","Estimate!!Total!!Owner occupied!!$20,000 to $24,999","Estimate!!Total!!Owner occupied!!$25,000 to $34,999","Estimate!!Total!!Owner occupied!!$35,000 to $49,999","Estimate!!Total!!Owner occupied!!$50,000 to $74,999","Estimate!!Total!!Owner occupied!!$75,000 to $99,999","Estimate!!Total!!Owner occupied!!$100,000 to $149,999","Estimate!!Total!!Owner occupied!!$150,000 or more",Estimate!!Total!!Renter occupied,"Estimate!!Total!!Renter occupied!!Less than $5,000","Estimate!!Total!!Renter occupied!!$5,000 to $9,999","Estimate!!Total!!Renter occupied!!$10,000 to $14,999","Estimate!!Total!!Renter occupied!!$15,000 to $19,999","Estimate!!Total!!Renter occupied!!$20,000 to $24,999","Estimate!!Total!!Renter occupied!!$25,000 to $34,999","Estimate!!Total!!Renter occupied!!$35,000 to $49,999","Estimate!!Total!!Renter occupied!!$50,000 to $74,999","Estimate!!Total!!Renter occupied!!$75,000 to $99,999","Estimate!!Total!!Renter occupied!!$100,000 to $149,999","Estimate!!Total!!Renter occupied!!$150,000 or more",zip code tabulation area,50k or Higher Total,% 50k or Higher
3826,ZCTA5 79843,837,525,31,5,72,30,56,34,76,69,22,130,0,312,9,0,20,27,15,32,85,51,23,50,0,79843,124,0.14814814814814814
3827,ZCTA5 99552,81,59,6,2,4,4,5,6,6,14,2,10,0,22,2,0,2,0,0,2,4,6,5,0,1,99552,12,0.14814814814814814
3828,ZCTA5 12507,81,64,0,7,0,6,0,12,0,11,12,6,10,17,0,0,0,5,0,0,0,6,0,6,0,12507,12,0.14814814814814814
3829,ZCTA5 08107,5280,2731,10,20,38,93,81,116,359,414,465,661,474,2549,101,158,381,128,262,388,349,456,135,165,26,8107,782,0.1481060606060606
3830,ZCTA5 21206,19309,11203,300,137,314,363,320,1135,1273,2199,1945,2103,1114,8106,362,508,640,550,366,1205,1616,1529,604,670,56,21206,2859,0.14806566885908126
3831,ZCTA5 54467,5823,3636,48,48,95,105,52,152,427,716,644,855,494,2187,114,80,184,201,220,177,349,427,188,201,46,54467,862,0.14803365962562254
3832,ZCTA5 47541,473,331,0,5,3,2,8,26,36,100,54,92,5,142,9,2,33,8,11,6,3,15,23,32,0,47541,70,0.14799154334038056
3833,ZCTA5 56387,3339,1265,29,12,29,77,59,88,210,258,260,212,31,2074,53,143,58,187,255,402,482,318,114,0,62,56387,494,0.14794848757112908
3834,ZCTA5 75146,6783,4374,165,9,98,107,197,382,547,955,882,638,394,2409,145,25,316,49,197,275,399,523,251,221,8,75146,1003,0.14786967418546365
3835,ZCTA5 38622,257,139,0,25,31,0,13,12,34,7,11,6,0,118,11,0,31,0,0,25,13,38,0,0,0,38622,38,0.14785992217898833
3836,ZCTA5 30058,20013,11381,222,174,328,343,468,1035,1440,2485,1887,1943,1056,8632,548,515,717,461,651,1186,1595,1467,817,426,249,30058,2959,0.14785389496827062
3837,ZCTA5 82839,487,400,0,19,6,55,6,23,33,121,56,62,19,87,0,0,0,7,0,0,8,34,16,17,5,82839,72,0.14784394250513347
3838,ZCTA5 32828,21327,13508,164,207,194,160,125,557,1289,2792,1911,3088,3021,7819,798,69,521,469,610,851,1348,1506,697,646,304,32828,3153,0.14784076522717682
3839,ZCTA5 12791,230,135,0,0,0,0,0,5,6,52,29,43,0,95,0,0,0,28,0,33,0,0,34,0,0,12791,34,0.14782608695652175
3840,ZCTA5 68791,751,520,10,5,5,27,22,62,100,66,78,104,41,231,0,0,22,12,16,17,53,40,23,48,0,68791,111,0.1478029294274301
3841,ZCTA5 29445,20771,13829,274,378,454,289,524,1207,1426,2918,2537,2406,1416,6942,207,167,390,405,637,983,1083,1869,641,440,120,29445,3070,0.14780222425497086
3842,ZCTA5 41085,318,200,12,0,12,7,0,37,26,45,38,23,0,118,0,9,3,17,0,14,28,36,11,0,0,41085,47,0.14779874213836477
3843,ZCTA5 58541,203,161,21,20,4,2,3,20,13,26,18,28,6,42,2,0,2,0,0,5,3,4,23,0,3,58541,30,0.1477832512315271
3844,ZCTA5 17930,203,133,0,0,6,2,10,38,27,20,12,10,8,70,5,0,7,9,0,5,14,12,8,10,0,17930,30,0.1477832512315271
3845,ZCTA5 90222,7985,3932,133,41,189,100,57,377,489,827,670,728,321,4053,305,209,488,330,379,721,441,522,403,188,67,90222,1180,0.14777708202880402
3846,ZCTA5 73120,17459,9182,134,67,258,246,226,603,1218,1827,1378,1394,1831,8277,85,384,483,725,716,1499,1805,1442,612,326,200,73120,2580,0.14777478664299215
3847,ZCTA5 01440,8222,4288,47,19,149,149,48,443,528,838,780,764,523,3934,224,226,455,287,375,458,694,631,360,197,27,1440,1215,0.14777426416930187
