,zip_codes,Estimate!!Total,25-44 Renters,%25-44 Renters,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
200,8628,3918,639,0.16309341500765698,40.26627,-74.82334,Trenton,NJ,New Jersey,True,,9315,501.0,34021,Mercer,{'34021':100},Mercer,34021,False,False,America/New_York
352,13068,2170,353,0.16267281105990783,42.49981,-76.35868,Freeville,NY,New York,True,,5160,40.5,36109,Tompkins,{'36109':100},Tompkins,36109,False,False,America/New_York
895,92129,17879,2906,0.1625370546451144,32.964859999999994,-117.12603,San Diego,CA,California,True,,54986,1415.6,6073,San Diego,{'06073':100},San Diego,06073,False,False,America/Los_Angeles
391,76643,5164,837,0.16208365608055772,31.4538,-97.19366,Hewitt,TX,Texas,True,,14347,652.2,48309,McLennan,{'48309':100},McLennan,48309,False,False,America/Chicago
764,48864,9088,1473,0.1620818661971831,42.7013,-84.40675,Okemos,MI,Michigan,True,,23132,360.7,26065,Ingham,{'26065':100},Ingham,26065,False,False,America/Detroit
600,85260,17518,2835,0.1618335426418541,33.60958,-111.89157,Scottsdale,AZ,Arizona,True,,38934,959.4,4013,Maricopa,{'04013':100},Maricopa,04013,False,False,America/Phoenix
319,8876,8047,1302,0.16179942835839442,40.587990000000005,-74.68739000000001,Somerville,NJ,New Jersey,True,,22059,563.4,34035,Somerset,"{'34019':1.08,'34035':98.92}",Somerset|Hunterdon,34035|34019,False,False,America/New_York
525,52323,371,60,0.16172506738544473,41.98444,-90.9598,Oxford Junction,IA,Iowa,True,,944,6.6,19105,Jones,"{'19031':2.54,'19045':5.88,'19105':91.58}",Jones|Clinton|Cedar,19105|19045|19031,False,False,America/Chicago
240,2554,3637,588,0.16167170745119605,41.285379999999996,-70.0798,Nantucket,MA,Massachusetts,True,,10842,94.3,25019,Nantucket,{'25019':100},Nantucket,25019,False,False,America/New_York
508,89143,4206,679,0.16143604374702805,36.322309999999995,-115.29318,Las Vegas,NV,Nevada,True,,13159,1443.0,32003,Clark,{'32003':100},Clark,32003,False,False,America/Los_Angeles
375,99126,341,55,0.16129032258064516,48.73963,-117.97195,Evans,WA,Washington,True,,1079,6.5,53065,Stevens,{'53065':100},Stevens,53065,False,False,America/Los_Angeles
257,76308,8048,1295,0.16090954274353877,33.85238,-98.54057,Wichita Falls,TX,Texas,True,,19092,850.8,48485,Wichita,"{'48009':5.69,'48485':94.31}",Wichita|Archer,48485|48009,False,False,America/Chicago
859,79765,5272,848,0.16084977238239756,31.92346,-102.29241,Odessa,TX,Texas,True,,14782,129.5,48135,Ector,"{'48135':63.29,'48329':36.71}",Ector|Midland,48135|48329,False,False,America/Chicago
71,84124,7922,1272,0.16056551375915173,40.67722,-111.81329,Salt Lake City,UT,Utah,True,,22303,1415.8,49035,Salt Lake,{'49035':100},Salt Lake,49035,False,False,America/Denver
337,99037,5967,958,0.16054968996145466,47.6364,-117.1972,Veradale,WA,Washington,True,,14672,774.6,53063,Spokane,{'53063':100},Spokane,53063,False,False,America/Los_Angeles
543,95391,4399,706,0.16049102068651966,37.763090000000005,-121.60538000000001,Tracy,CA,California,True,,16562,161.9,6077,San Joaquin,"{'06001':1.31,'06077':98.69}",San Joaquin|Alameda,06077|06001,False,False,America/Los_Angeles
638,5452,8816,1414,0.16039019963702358,44.52414,-73.06238,Essex Junction,VT,Vermont,True,,21444,183.2,50007,Chittenden,{'50007':100},Chittenden,50007,False,False,America/New_York
841,96107,493,79,0.16024340770791076,38.48033,-119.47278,Coleville,CA,California,True,,1450,5.5,6051,Mono,{'06051':100},Mono,06051,False,False,America/Los_Angeles
