,Age,Own,Rent,Total,%Own,%Rent
0,1-person,17343470,15868786,33212256,52.22009007759063,47.77990992240937
1,2-person,28746125,11824177,40570302,70.85509247626503,29.144907523734968
2,3-person,12162307,6597377,18759684,64.83215282304329,35.16784717695671
3,4-person,10638861,4882103,15520964,68.54510454376417,31.45489545623584
4,5-person,4731952,2453350,7185302,65.85599324843966,34.14400675156034
5,6-person,1745492,1010574,2756066,63.33273586336466,36.66726413663534
6,7 or more,1076603,648951,1725554,62.391730423968184,37.60826957603181
