,NAME,Estimate!!Total,Estimate!!Total!!Owner-occupied housing units,Estimate!!Total!!Owner-occupied housing units!!Less than high school graduate,Estimate!!Total!!Owner-occupied housing units!!High school graduate (including equivalency),Estimate!!Total!!Owner-occupied housing units!!Some college or associate's degree,Estimate!!Total!!Owner-occupied housing units!!Bachelor's degree or higher,Estimate!!Total!!Renter-occupied housing units,Estimate!!Total!!Renter-occupied housing units!!Less than high school graduate,Estimate!!Total!!Renter-occupied housing units!!High school graduate (including equivalency),Estimate!!Total!!Renter-occupied housing units!!Some college or associate's degree,Estimate!!Total!!Renter-occupied housing units!!Bachelor's degree or higher,zip code tabulation area,HS or Higher Total,% HS or Higher
4897,ZCTA5 72719,4066,2274,139,458,644,1033,1792,40,512,779,461,72719,3887,0.955976389572061
4898,ZCTA5 68863,477,358,18,124,149,67,119,3,44,56,16,68863,456,0.9559748427672956
4899,ZCTA5 11021,7949,5563,185,527,701,4150,2386,165,327,659,1235,11021,7599,0.9559693043150082
4900,ZCTA5 07462,2634,1852,66,543,541,702,782,50,150,397,185,7462,2518,0.955960516324981
4901,ZCTA5 14080,1748,1465,50,587,491,337,283,27,82,102,72,14080,1671,0.9559496567505721
4902,ZCTA5 65201,16434,5033,181,827,1192,2833,11401,543,1364,4832,4662,65201,15710,0.9559449920895704
4903,ZCTA5 02659,431,409,19,35,131,224,22,0,0,22,0,2659,412,0.9559164733178654
4904,ZCTA5 36693,7893,5136,163,937,1678,2358,2757,185,748,1041,783,36693,7545,0.9559103002660585
4905,ZCTA5 23836,4944,3581,207,744,999,1631,1363,11,342,402,608,23836,4726,0.955906148867314
4906,ZCTA5 55352,3243,2351,65,746,817,723,892,78,412,312,90,55352,3100,0.9559050262102992
4907,ZCTA5 82718,9138,6664,198,1881,2512,2073,2474,205,838,1145,286,82718,8735,0.9558984460494637
4908,ZCTA5 21645,476,429,13,91,88,237,47,8,16,0,23,21645,455,0.9558823529411765
4909,ZCTA5 78414,14416,9235,306,1524,3374,4031,5181,330,1090,2081,1680,78414,13780,0.9558823529411765
4910,ZCTA5 48469,612,494,11,151,177,155,118,16,67,27,8,48469,585,0.9558823529411765
4911,ZCTA5 35004,4533,3544,126,924,1716,778,989,74,538,244,133,35004,4333,0.9558791087579969
4912,ZCTA5 55805,4713,1470,64,325,451,630,3243,144,670,1618,811,55805,4505,0.9558667515382984
4913,ZCTA5 11561,16017,9533,395,1596,2004,5538,6484,312,1569,1581,3022,11561,15310,0.9558593993881501
4914,ZCTA5 91214,10240,7854,279,820,2260,4495,2386,173,447,600,1166,91214,9788,0.955859375
4915,ZCTA5 56001,18622,10322,454,1939,3488,4441,8300,368,1648,4155,2129,56001,17800,0.9558586617978735
4916,ZCTA5 61448,1427,1126,38,391,419,278,301,25,98,155,23,61448,1364,0.9558514365802383
4917,ZCTA5 73724,453,351,20,108,123,100,102,0,63,16,23,73724,433,0.9558498896247241
4918,ZCTA5 01379,385,309,15,53,100,141,76,2,24,7,43,1379,368,0.9558441558441558
4919,ZCTA5 11563,8062,5920,233,1354,1794,2539,2142,123,493,528,998,11563,7706,0.9558422227735053
4920,ZCTA5 96020,1019,690,8,167,365,150,329,37,86,129,77,96020,974,0.9558390578999019
4921,ZCTA5 47954,883,728,31,368,157,172,155,8,95,33,19,47954,844,0.9558323895809739
4922,ZCTA5 18249,1562,1381,46,319,400,616,181,23,67,46,45,18249,1493,0.9558258642765685
4923,ZCTA5 13810,498,400,22,153,78,147,98,0,34,52,12,13810,476,0.9558232931726908
4924,ZCTA5 22307,4504,3513,150,137,551,2675,991,49,87,169,686,22307,4305,0.9558170515097691
4925,ZCTA5 54020,2851,2162,54,635,799,674,689,72,265,288,64,54020,2725,0.9558049807085234
4926,ZCTA5 80446,1697,1175,0,297,430,448,522,75,89,273,85,80446,1622,0.9558043606364172
4927,ZCTA5 15665,543,418,14,86,251,67,125,10,16,89,10,15665,519,0.9558011049723757
4928,ZCTA5 95405,8369,4932,164,375,1544,2849,3437,206,499,1515,1217,95405,7999,0.9557892221292866
4929,ZCTA5 15043,769,705,34,319,250,102,64,0,18,46,0,15043,735,0.9557867360208062
4930,ZCTA5 56311,294,233,0,73,133,27,61,13,26,18,4,56311,281,0.95578231292517
4931,ZCTA5 11565,3166,3087,140,614,707,1626,79,0,23,17,39,11565,3026,0.9557801642451043
4932,ZCTA5 20910,20180,6499,197,283,685,5334,13681,696,1418,2357,9210,20910,19287,0.9557482656095144
4933,ZCTA5 15009,6552,4911,163,1019,1393,2336,1641,127,625,509,380,15009,6262,0.9557387057387058
