,NAME,Estimate!!Total,Estimate!!Total!!Owner-occupied housing units,Estimate!!Total!!Owner-occupied housing units!!Less than high school graduate,Estimate!!Total!!Owner-occupied housing units!!High school graduate (including equivalency),Estimate!!Total!!Owner-occupied housing units!!Some college or associate's degree,Estimate!!Total!!Owner-occupied housing units!!Bachelor's degree or higher,Estimate!!Total!!Renter-occupied housing units,Estimate!!Total!!Renter-occupied housing units!!Less than high school graduate,Estimate!!Total!!Renter-occupied housing units!!High school graduate (including equivalency),Estimate!!Total!!Renter-occupied housing units!!Some college or associate's degree,Estimate!!Total!!Renter-occupied housing units!!Bachelor's degree or higher,zip code tabulation area,HS or Higher Total,% HS or Higher
266,ZCTA5 94920,5355,3773,13,168,627,2965,1582,0,42,310,1230,94920,5342,0.9975723622782446
267,ZCTA5 08852,6612,4444,2,517,673,3252,2168,15,323,325,1505,8852,6595,0.9974289171203872
268,ZCTA5 35223,4152,3568,11,62,461,3034,584,0,13,109,462,35223,4141,0.9973506743737958
269,ZCTA5 37350,749,679,2,17,120,540,70,0,0,14,56,37350,747,0.9973297730307076
270,ZCTA5 38139,5542,5298,15,328,900,4055,244,0,48,77,119,38139,5527,0.9972933958859618
271,ZCTA5 76092,9165,8434,26,310,1591,6507,731,0,241,164,326,76092,9139,0.9971631205673759
272,ZCTA5 02332,5590,4997,16,379,1029,3573,593,0,117,110,366,2332,5574,0.9971377459749553
273,ZCTA5 95903,343,0,0,0,0,0,343,1,52,210,80,95903,342,0.9970845481049563
274,ZCTA5 50105,339,279,0,45,95,139,60,1,17,24,18,50105,338,0.9970501474926253
275,ZCTA5 83712,4064,2704,0,164,462,2078,1360,12,278,454,616,83712,4052,0.9970472440944882
276,ZCTA5 90094,4345,1643,0,13,157,1473,2702,13,35,733,1921,90094,4332,0.9970080552359033
277,ZCTA5 92603,7292,4857,0,73,500,4284,2435,22,172,594,1647,92603,7270,0.9969829950630829
278,ZCTA5 07640,1625,1489,5,152,328,1004,136,0,22,29,85,7640,1620,0.9969230769230769
279,ZCTA5 15232,6174,1686,8,89,126,1463,4488,11,158,444,3875,15232,6155,0.9969225785552316
280,ZCTA5 27608,4845,3429,15,50,279,3085,1416,0,76,376,964,27608,4830,0.9969040247678018
281,ZCTA5 60558,4401,4221,14,214,562,3431,180,0,8,80,92,60558,4387,0.996818904794365
282,ZCTA5 47920,930,858,3,279,292,284,72,0,9,60,3,47920,927,0.9967741935483871
283,ZCTA5 04107,3700,3212,12,183,645,2372,488,0,105,95,288,4107,3688,0.9967567567567568
284,ZCTA5 22039,5858,5587,19,165,668,4735,271,0,0,13,258,22039,5839,0.996756572208945
285,ZCTA5 44867,917,811,3,392,288,128,106,0,75,14,17,44867,914,0.9967284623773174
286,ZCTA5 55301,4562,3555,0,900,1184,1471,1007,15,410,439,143,55301,4547,0.996711968434897
287,ZCTA5 57036,300,270,1,77,145,47,30,0,13,17,0,57036,299,0.9966666666666667
288,ZCTA5 22308,4458,4040,15,159,496,3370,418,0,26,11,381,22308,4443,0.9966352624495289
289,ZCTA5 10533,2623,2117,9,143,306,1659,506,0,71,173,262,10533,2614,0.9965688143347312
290,ZCTA5 08810,2888,2370,10,344,319,1697,518,0,46,113,359,8810,2878,0.9965373961218836
291,ZCTA5 35233,864,119,0,10,0,109,745,3,73,169,500,35233,861,0.9965277777777778
292,ZCTA5 78717,10347,6128,36,327,1198,4567,4219,0,526,1461,2232,78717,10311,0.9965207306465642
293,ZCTA5 03580,545,453,0,71,102,280,92,2,10,51,29,3580,543,0.9963302752293578
294,ZCTA5 91024,4603,2854,5,258,557,2034,1749,12,158,545,1034,91024,4586,0.9963067564631762
295,ZCTA5 03229,2129,1877,8,270,524,1075,252,0,56,75,121,3229,2121,0.9962423673085956
296,ZCTA5 31411,4147,3853,16,383,783,2671,294,0,89,9,196,31411,4131,0.9961417892452376
297,ZCTA5 48069,1035,992,4,30,186,772,43,0,6,10,27,48069,1031,0.996135265700483
298,ZCTA5 19930,1288,1256,5,141,281,829,32,0,0,3,29,19930,1283,0.9961180124223602
299,ZCTA5 55436,5642,4382,8,287,792,3295,1260,15,185,323,737,55436,5619,0.9959234314073023
300,ZCTA5 99506,2204,15,0,0,15,0,2189,9,418,1335,427,99506,2195,0.9959165154264973
301,ZCTA5 07933,1201,1097,5,98,287,707,104,0,17,51,36,7933,1196,0.9958368026644463
302,ZCTA5 08502,3561,2814,0,198,218,2398,747,15,82,193,457,8502,3546,0.995787700084246
303,ZCTA5 92014,5924,3840,25,118,437,3260,2084,0,103,554,1427,92014,5899,0.9957798784604996
304,ZCTA5 48025,5796,5229,25,309,698,4197,567,0,88,174,305,48025,5771,0.9956866804692892
305,ZCTA5 66507,458,407,0,142,124,141,51,2,6,35,8,66507,456,0.9956331877729258
306,ZCTA5 08558,2518,2194,11,158,183,1842,324,0,108,80,136,8558,2507,0.9956314535345512
307,ZCTA5 22213,1371,988,6,65,40,877,383,0,10,55,318,22213,1365,0.9956236323851203
308,ZCTA5 07046,1363,1264,6,39,108,1111,99,0,0,0,99,7046,1357,0.9955979457079971
309,ZCTA5 63105,6563,3934,7,77,305,3545,2629,22,46,417,2144,63105,6534,0.9955812890446443
310,ZCTA5 94065,5192,3593,23,180,422,2968,1599,0,123,307,1169,94065,5169,0.9955701078582434
311,ZCTA5 82836,448,304,0,86,74,144,144,2,84,41,17,82836,446,0.9955357142857143
312,ZCTA5 07677,2009,1790,9,163,165,1453,219,0,85,38,96,7677,2000,0.9955201592832255
313,ZCTA5 92007,4469,2590,16,141,727,1706,1879,5,219,595,1060,92007,4448,0.9953009621839337
314,ZCTA5 11978,1263,911,0,187,202,522,352,6,123,150,73,11978,1257,0.995249406175772
315,ZCTA5 78733,2923,2594,5,74,409,2106,329,9,8,49,263,78733,2909,0.9952104002736915
316,ZCTA5 63144,4336,2881,8,193,522,2158,1455,13,43,254,1145,63144,4315,0.9951568265682657
317,ZCTA5 06777,614,552,0,117,153,282,62,3,10,22,27,6777,611,0.995114006514658
318,ZCTA5 80238,7138,5404,9,91,488,4816,1734,26,42,553,1113,80238,7103,0.9950966657326983
319,ZCTA5 03782,1216,911,3,237,204,467,305,3,98,122,82,3782,1210,0.9950657894736842
320,ZCTA5 66226,4453,3961,17,326,667,2951,492,5,56,264,167,66226,4431,0.9950595104423984
321,ZCTA5 29482,800,672,0,19,94,559,128,4,7,25,92,29482,796,0.995
322,ZCTA5 01985,1589,1459,8,122,307,1022,130,0,22,76,32,1985,1581,0.9949653870358716
323,ZCTA5 76034,8886,8554,45,560,1985,5964,332,0,32,101,199,76034,8841,0.9949358541525996
324,ZCTA5 97232,6689,2007,0,15,401,1591,4682,34,301,1203,3144,97232,6655,0.9949170279563463
325,ZCTA5 63102,983,0,0,0,0,0,983,5,102,205,671,63102,978,0.9949135300101729
326,ZCTA5 92657,3884,3263,20,218,567,2458,621,0,73,163,385,92657,3864,0.9948506694129763
327,ZCTA5 03860,1741,1189,9,95,392,693,552,0,157,262,133,3860,1732,0.9948305571510626
328,ZCTA5 18925,2320,2120,12,287,246,1575,200,0,82,81,37,18925,2308,0.9948275862068966
329,ZCTA5 22066,5796,5572,30,202,526,4814,224,0,12,98,114,22066,5766,0.994824016563147
330,ZCTA5 06419,2305,2141,0,466,669,1006,164,12,79,12,61,6419,2293,0.9947939262472885
331,ZCTA5 03269,1152,973,6,160,423,384,179,0,50,60,69,3269,1146,0.9947916666666666
332,ZCTA5 14534,11765,10640,44,703,1523,8370,1125,18,193,179,735,14534,11703,0.9947301317467063
333,ZCTA5 05482,3223,2333,17,173,465,1678,890,0,160,148,582,5482,3206,0.9947254111076637
334,ZCTA5 02459,6605,5333,26,174,387,4746,1272,9,119,146,998,2459,6570,0.9947009841029523
335,ZCTA5 05091,1493,1119,8,152,333,626,374,0,71,103,200,5091,1485,0.9946416610850636
336,ZCTA5 11768,7830,6841,42,905,1583,4311,989,0,190,303,496,11768,7788,0.9946360153256705
337,ZCTA5 19106,6519,3125,19,118,278,2710,3394,16,104,224,3050,19106,6484,0.9946310783862555
338,ZCTA5 30072,371,266,2,39,60,165,105,0,27,37,41,30072,369,0.9946091644204852
339,ZCTA5 61919,369,320,2,112,155,51,49,0,25,22,2,61919,367,0.994579945799458
340,ZCTA5 03824,3308,1845,0,79,284,1482,1463,18,134,881,430,3824,3290,0.9945586457073761
341,ZCTA5 03840,1459,1224,8,130,321,765,235,0,9,122,104,3840,1451,0.9945167923235092
342,ZCTA5 21654,546,383,3,28,73,279,163,0,9,66,88,21654,543,0.9945054945054945
343,ZCTA5 97239,8704,4222,2,113,524,3583,4482,46,246,1217,2973,97239,8656,0.9944852941176471
344,ZCTA5 66440,720,640,4,270,166,200,80,0,28,28,24,66440,716,0.9944444444444445
345,ZCTA5 49958,360,346,0,146,97,103,14,2,10,2,0,49958,358,0.9944444444444445
346,ZCTA5 93238,538,332,0,74,79,179,206,3,42,96,65,93238,535,0.9944237918215614
347,ZCTA5 62625,355,339,2,75,108,154,16,0,0,1,15,62625,353,0.9943661971830986
348,ZCTA5 96145,1051,719,0,47,317,355,332,6,86,60,180,96145,1045,0.994291151284491
349,ZCTA5 78746,10867,7516,19,110,593,6794,3351,44,137,612,2558,78746,10804,0.9942026318211098
350,ZCTA5 90067,1375,1132,8,87,209,828,243,0,27,29,187,90067,1367,0.9941818181818182
351,ZCTA5 48306,9604,8891,56,617,1477,6741,713,0,56,280,377,48306,9548,0.9941690962099126
352,ZCTA5 03241,343,311,2,48,72,189,32,0,13,10,9,3241,341,0.9941690962099126
353,ZCTA5 99126,341,255,2,85,106,62,86,0,37,49,0,99126,339,0.9941348973607038
354,ZCTA5 19066,1695,1587,10,47,77,1453,108,0,19,18,71,19066,1685,0.9941002949852508
355,ZCTA5 52351,503,481,0,104,206,171,22,3,12,7,0,52351,500,0.9940357852882704
356,ZCTA5 10706,3179,2514,2,263,278,1971,665,17,122,147,379,10706,3160,0.994023277760302
357,ZCTA5 01270,334,334,2,106,79,147,0,0,0,0,0,1270,332,0.9940119760479041
358,ZCTA5 96712,2500,1449,7,239,436,767,1051,8,341,365,337,96712,2485,0.994
359,ZCTA5 16827,1831,1567,0,122,189,1256,264,11,60,158,35,16827,1820,0.99399235390497
360,ZCTA5 62028,332,277,2,72,68,135,55,0,18,18,19,62028,330,0.9939759036144579
361,ZCTA5 66442,3812,30,0,15,15,0,3782,23,1280,1862,617,66442,3789,0.9939664218258132
362,ZCTA5 10021,24996,11252,29,604,1161,9458,13744,122,900,1861,10861,10021,24845,0.9939590334453513
363,ZCTA5 19707,5955,5183,36,394,694,4059,772,0,196,265,311,19707,5919,0.9939546599496222
364,ZCTA5 15611,330,255,2,157,73,23,75,0,24,51,0,15611,328,0.9939393939393939
365,ZCTA5 78261,5735,4713,35,573,1392,2713,1022,0,164,463,395,78261,5700,0.993897122929381
366,ZCTA5 06853,1467,1158,9,78,78,993,309,0,77,94,138,6853,1458,0.9938650306748467
367,ZCTA5 95819,7972,5489,22,462,1026,3979,2483,27,250,1004,1202,95819,7923,0.9938534872052183
368,ZCTA5 68339,487,431,3,63,170,195,56,0,26,16,14,68339,484,0.9938398357289527
369,ZCTA5 88330,973,9,0,0,0,9,964,6,156,630,172,88330,967,0.9938335046248715
370,ZCTA5 03304,2752,2442,17,328,468,1629,310,0,173,96,41,3304,2735,0.9938226744186046
371,ZCTA5 98074,9370,8220,29,259,1078,6854,1150,29,22,326,773,98074,9312,0.9938100320170757
372,ZCTA5 68520,644,615,0,65,111,439,29,4,0,5,20,68520,640,0.9937888198757764
373,ZCTA5 60136,2406,2268,15,282,935,1036,138,0,39,99,0,60136,2391,0.9937655860349127
374,ZCTA5 99161,641,514,4,107,161,242,127,0,23,43,61,99161,637,0.9937597503900156
375,ZCTA5 35213,5559,4230,35,208,418,3569,1329,0,134,249,946,35213,5524,0.9937039035797806
376,ZCTA5 15015,476,451,3,38,76,334,25,0,8,17,0,15015,473,0.9936974789915967
377,ZCTA5 85266,5361,5144,34,442,1047,3621,217,0,47,51,119,85266,5327,0.9936578996455885
378,ZCTA5 53044,946,858,6,101,196,555,88,0,24,23,41,53044,940,0.9936575052854123
379,ZCTA5 61864,630,555,4,179,174,198,75,0,26,28,21,61864,626,0.9936507936507937
380,ZCTA5 53544,314,259,0,96,93,70,55,2,18,26,9,53544,312,0.9936305732484076
381,ZCTA5 06870,2505,2073,16,96,288,1673,432,0,29,51,352,6870,2489,0.9936127744510979
382,ZCTA5 99714,468,385,3,102,143,137,83,0,39,0,44,99714,465,0.9935897435897436
383,ZCTA5 84056,936,4,0,0,0,4,932,6,131,542,253,84056,930,0.9935897435897436
384,ZCTA5 60605,13865,7727,0,231,781,6715,6138,89,369,1379,4301,60605,13776,0.9935809592499099
385,ZCTA5 97210,6523,2671,8,80,269,2314,3852,34,353,896,2569,97210,6481,0.9935612448260003
386,ZCTA5 69165,766,590,5,173,292,120,176,0,61,74,41,69165,761,0.9934725848563969
387,ZCTA5 43323,306,272,2,168,86,16,34,0,31,3,0,43323,304,0.9934640522875817
388,ZCTA5 94941,13429,9167,78,319,1245,7525,4262,10,303,965,2984,94941,13341,0.993447017648373
389,ZCTA5 08750,1369,1264,0,111,239,914,105,9,0,33,63,8750,1360,0.9934258582907232
390,ZCTA5 21005,760,0,0,0,0,0,760,5,76,295,384,21005,755,0.993421052631579
391,ZCTA5 84004,2735,2377,5,184,637,1551,358,13,49,148,148,84004,2717,0.993418647166362
392,ZCTA5 99011,759,0,0,0,0,0,759,5,76,460,218,99011,754,0.9934123847167325
393,ZCTA5 30346,3033,111,0,14,13,84,2922,20,83,203,2616,30346,3013,0.9934058687767886
394,ZCTA5 27617,9088,4160,43,249,715,3153,4928,17,458,1326,3127,27617,9028,0.9933978873239436
395,ZCTA5 11721,2271,2138,15,232,542,1349,133,0,0,16,117,11721,2256,0.9933949801849405
396,ZCTA5 06784,1512,1321,10,240,329,742,191,0,0,31,160,6784,1502,0.9933862433862434
397,ZCTA5 07711,602,508,4,85,92,327,94,0,16,45,33,7711,598,0.9933554817275747
398,ZCTA5 19035,1501,1305,10,90,89,1116,196,0,22,32,142,19035,1491,0.9933377748167888
399,ZCTA5 46781,300,280,0,145,117,18,20,2,10,8,0,46781,298,0.9933333333333333
400,ZCTA5 84332,2395,2033,16,246,618,1153,362,0,56,184,122,84332,2379,0.9933194154488518
401,ZCTA5 07717,895,592,0,83,134,375,303,6,40,110,147,7717,889,0.9932960893854749
402,ZCTA5 02043,8743,7116,35,707,1156,5218,1627,24,213,406,984,2043,8684,0.9932517442525449
403,ZCTA5 37135,3997,3707,27,468,764,2448,290,0,59,99,132,37135,3970,0.9932449337002752
404,ZCTA5 30327,9178,7084,38,189,663,6194,2094,24,165,363,1542,30327,9116,0.993244715624319
405,ZCTA5 03049,2954,2720,20,201,582,1917,234,0,60,71,103,3049,2934,0.99322951929587
406,ZCTA5 80007,4282,4074,29,442,892,2711,208,0,0,166,42,80007,4253,0.9932274638019617
407,ZCTA5 55327,1325,1294,9,287,455,543,31,0,0,11,20,55327,1316,0.9932075471698113
408,ZCTA5 65809,4710,4105,15,450,857,2783,605,17,50,290,248,65809,4678,0.9932059447983015
409,ZCTA5 44264,1176,929,8,148,280,493,247,0,61,118,68,44264,1168,0.9931972789115646
410,ZCTA5 84045,6316,5129,21,432,2003,2673,1187,22,333,458,374,84045,6273,0.9931918936035465
411,ZCTA5 33327,6609,5210,45,539,909,3717,1399,0,109,295,995,33327,6564,0.9931911030413073
412,ZCTA5 07044,5139,4130,22,568,656,2884,1009,13,282,163,551,7044,5104,0.9931893364467795
413,ZCTA5 03255,875,820,6,124,267,423,55,0,36,14,5,3255,869,0.9931428571428571
414,ZCTA5 27927,437,342,3,61,89,189,95,0,29,26,40,27927,434,0.9931350114416476
415,ZCTA5 48104,16436,6174,45,255,718,5156,10262,68,935,3650,5609,48104,16323,0.9931248478948649
416,ZCTA5 94027,2313,2132,16,64,232,1820,181,0,0,6,175,94027,2297,0.9930825767401643
417,ZCTA5 83648,1010,0,0,0,0,0,1010,7,214,622,167,83648,1003,0.9930693069306931
418,ZCTA5 20004,1295,515,9,0,16,490,780,0,23,33,724,20004,1286,0.993050193050193
419,ZCTA5 96722,863,661,6,63,143,449,202,0,78,77,47,96722,857,0.9930475086906141
420,ZCTA5 07750,1409,1202,10,87,182,923,207,0,49,63,95,7750,1399,0.992902767920511
421,ZCTA5 20006,563,37,0,0,8,29,526,4,16,128,378,20006,559,0.9928952042628775
422,ZCTA5 13152,3493,2954,25,400,701,1828,539,0,60,226,253,13152,3468,0.9928428285141712
423,ZCTA5 80924,2653,1953,0,86,386,1481,700,19,85,253,343,80924,2634,0.9928382962683754
424,ZCTA5 71110,977,20,0,0,0,20,957,7,140,479,331,71110,970,0.9928352098259979
425,ZCTA5 92610,4857,3644,17,197,862,2568,1213,18,98,358,739,92610,4822,0.9927939057031089
426,ZCTA5 78257,2754,1537,13,87,321,1116,1217,7,173,374,663,78257,2734,0.9927378358750908
427,ZCTA5 32814,3165,1431,0,90,253,1088,1734,23,204,127,1380,32814,3142,0.9927330173775671
428,ZCTA5 80925,3298,2744,17,622,1201,904,554,7,72,259,216,80925,3274,0.9927228623408126
429,ZCTA5 63131,6453,5955,42,258,605,5050,498,5,72,146,275,63131,6406,0.9927165659383232
430,ZCTA5 53705,11796,5796,35,352,699,4710,6000,51,475,856,4618,53705,11710,0.9927093930145812
431,ZCTA5 66224,4650,4126,24,132,691,3279,524,10,98,222,194,66224,4616,0.9926881720430107
432,ZCTA5 19041,2592,1659,9,112,103,1435,933,10,59,128,736,19041,2573,0.9926697530864198
433,ZCTA5 80129,11164,8383,43,510,1912,5918,2781,39,300,857,1585,80129,11082,0.9926549623790756
434,ZCTA5 75205,9238,5954,16,145,539,5254,3284,52,275,595,2362,75205,9170,0.9926390993721584
435,ZCTA5 63005,6376,5486,33,279,869,4305,890,14,23,174,679,63005,6329,0.9926286072772899
436,ZCTA5 49083,2975,2509,14,326,790,1379,466,8,162,187,109,49083,2953,0.9926050420168068
437,ZCTA5 50643,1077,939,8,200,377,354,138,0,38,51,49,50643,1069,0.9925719591457753
438,ZCTA5 60611,20726,9619,59,359,1441,7760,11107,96,403,976,9632,60611,20571,0.9925214706166168
439,ZCTA5 55733,1734,1615,13,400,570,632,119,0,41,51,27,55733,1721,0.9925028835063437
440,ZCTA5 78738,5977,4333,29,142,674,3488,1644,16,243,418,967,78738,5932,0.9924711393675757
441,ZCTA5 19444,4370,3232,20,359,386,2467,1138,13,265,261,599,19444,4337,0.9924485125858123
442,ZCTA5 07702,1454,1338,11,173,215,939,116,0,10,27,79,7702,1443,0.9924346629986245
443,ZCTA5 66209,8319,6011,30,242,739,5000,2308,33,321,657,1297,66209,8256,0.9924269743959611
444,ZCTA5 91011,6597,5906,33,351,934,4588,691,17,68,153,453,91011,6547,0.9924207973321206
445,ZCTA5 54169,1054,1029,8,225,242,554,25,0,10,10,5,54169,1046,0.9924098671726755
446,ZCTA5 52328,1050,998,4,130,257,607,52,4,5,25,18,52328,1042,0.9923809523809524
447,ZCTA5 97035,11149,7472,58,399,1535,5480,3677,27,517,1156,1977,97035,11064,0.9923759978473405
448,ZCTA5 05489,1311,1183,4,186,347,646,128,6,23,44,55,5489,1301,0.992372234935164
449,ZCTA5 48438,2485,2351,19,543,876,913,134,0,22,88,24,48438,2466,0.9923541247484909
450,ZCTA5 58704,1564,27,0,15,12,0,1537,12,135,1013,377,58704,1552,0.9923273657289002
451,ZCTA5 66208,9110,7463,42,400,998,6023,1647,28,203,554,862,66208,9040,0.9923161361141603
452,ZCTA5 01776,6355,5875,31,463,517,4864,480,18,118,126,218,1776,6306,0.9922895357985838
453,ZCTA5 55439,3486,3119,15,190,453,2461,367,12,31,105,219,55439,3459,0.9922547332185886
454,ZCTA5 78248,5539,4308,24,295,996,2993,1231,19,166,589,457,78248,5496,0.9922368658602636
455,ZCTA5 03844,896,817,7,124,166,520,79,0,32,35,12,3844,889,0.9921875
456,ZCTA5 37220,2302,2095,18,214,430,1433,207,0,0,66,141,37220,2284,0.9921807124239791
457,ZCTA5 95614,1534,1361,12,229,546,574,173,0,41,115,17,95614,1522,0.9921773142112125
458,ZCTA5 84774,511,475,4,76,217,178,36,0,0,12,24,84774,507,0.9921722113502935
459,ZCTA5 20815,12960,8107,36,162,603,7306,4853,66,261,532,3994,20815,12858,0.9921296296296296
460,ZCTA5 32258,12186,8483,64,1035,3064,4320,3703,32,763,1164,1744,32258,12090,0.9921221073362876
461,ZCTA5 21140,1268,1178,10,198,262,708,90,0,40,10,40,21140,1258,0.9921135646687698
462,ZCTA5 30306,11022,6323,9,188,343,5783,4699,78,530,574,3517,30306,10935,0.99210669569951
463,ZCTA5 92661,1519,671,12,45,152,462,848,0,53,251,544,92661,1507,0.9921000658327848
464,ZCTA5 75039,9697,1593,0,9,182,1402,8104,77,262,1739,6026,75039,9620,0.9920593998143756
465,ZCTA5 60654,12068,5098,19,192,366,4521,6970,77,107,832,5954,60654,11972,0.9920450778919456
466,ZCTA5 80424,3136,2050,0,197,366,1487,1086,25,106,471,484,80424,3111,0.9920280612244898
467,ZCTA5 77069,8020,4441,54,495,1256,2636,3579,10,409,1727,1433,77069,7956,0.9920199501246882
468,ZCTA5 10005,4374,859,35,63,58,703,3515,0,85,278,3152,10005,4339,0.9919981710105167
469,ZCTA5 92067,2873,2427,0,148,632,1647,446,23,27,28,368,92067,2850,0.9919944309084581
470,ZCTA5 50323,4864,4572,39,370,873,3290,292,0,38,86,168,50323,4825,0.9919819078947368
471,ZCTA5 66207,6111,4673,49,188,966,3470,1438,0,279,344,815,66207,6062,0.9919816723940436
472,ZCTA5 20816,6090,5022,25,110,312,4575,1068,24,62,104,878,20816,6041,0.9919540229885058
473,ZCTA5 10589,3722,3315,30,307,810,2168,407,0,44,67,296,10589,3692,0.9919398173025256
474,ZCTA5 01541,1240,1156,10,112,279,755,84,0,11,28,45,1541,1230,0.9919354838709677
475,ZCTA5 66543,495,425,4,209,113,99,70,0,22,28,20,66543,491,0.9919191919191919
476,ZCTA5 46033,13487,12141,51,453,1944,9693,1346,58,99,237,952,46033,13378,0.9919181433973456
477,ZCTA5 55708,371,246,3,88,128,27,125,0,66,50,9,55708,368,0.9919137466307277
478,ZCTA5 75078,6897,6079,56,335,1508,4180,818,0,247,210,361,75078,6841,0.9918805277656952
479,ZCTA5 84025,6515,5332,43,459,1711,3119,1183,10,310,505,358,84025,6462,0.9918649270913277
480,ZCTA5 27571,2087,1754,0,236,454,1064,333,17,140,120,56,27571,2070,0.9918543363679924
481,ZCTA5 62354,612,463,5,97,216,145,149,0,75,10,64,62354,607,0.9918300653594772
482,ZCTA5 81130,367,324,3,72,114,135,43,0,3,28,12,81130,364,0.9918256130790191
483,ZCTA5 51052,367,273,3,100,122,48,94,0,16,57,21,51052,364,0.9918256130790191
484,ZCTA5 22207,11865,9605,67,544,609,8385,2260,30,303,372,1555,22207,11768,0.9918246944795618
485,ZCTA5 15090,9004,7159,58,811,1189,5101,1845,16,150,369,1310,15090,8930,0.9917814304753443
486,ZCTA5 30005,13260,9081,64,459,1232,7326,4179,45,474,799,2861,30005,13151,0.9917797888386124
487,ZCTA5 20623,850,840,7,283,244,306,10,0,3,0,7,20623,843,0.991764705882353
488,ZCTA5 19967,607,498,5,100,111,282,109,0,18,34,57,19967,602,0.9917627677100495
489,ZCTA5 08850,2913,2514,7,613,779,1115,399,17,124,183,75,8850,2889,0.9917610710607621
490,ZCTA5 93449,4245,2627,27,362,806,1432,1618,8,325,645,640,93449,4210,0.9917550058892816
491,ZCTA5 07023,2544,2228,0,355,262,1611,316,21,45,33,217,7023,2523,0.9917452830188679
492,ZCTA5 60093,6871,6039,15,159,475,5390,832,42,135,171,484,60093,6814,0.9917042642992286
493,ZCTA5 04614,1199,837,10,269,268,290,362,0,110,173,79,4614,1189,0.9916597164303587
494,ZCTA5 92663,10029,4563,21,344,1222,2976,5466,63,456,1813,3134,92663,9945,0.9916242895602752
495,ZCTA5 43065,14801,13460,114,906,2637,9803,1341,10,202,411,718,43065,14677,0.991622187690021
496,ZCTA5 12086,716,654,0,205,312,137,62,6,33,23,0,12086,710,0.9916201117318436
497,ZCTA5 83669,3690,3023,18,667,1262,1076,667,13,191,297,166,83669,3659,0.99159891598916
498,ZCTA5 78732,5831,4403,49,80,915,3359,1428,0,183,515,730,78732,5782,0.9915966386554622
499,ZCTA5 10007,2731,968,23,12,18,915,1763,0,0,121,1642,10007,2708,0.9915781764921274
500,ZCTA5 07931,1068,894,6,56,147,685,174,3,30,71,70,7931,1059,0.9915730337078652
501,ZCTA5 90272,9008,7278,60,216,1018,5984,1730,16,38,422,1254,90272,8932,0.9915630550621669
502,ZCTA5 21131,2605,2404,22,255,299,1828,201,0,87,40,74,21131,2583,0.9915547024952015
503,ZCTA5 18977,1653,1524,14,106,229,1175,129,0,17,14,98,18977,1639,0.9915305505142166
504,ZCTA5 84014,5541,4795,47,623,1348,2777,746,0,80,352,314,84014,5494,0.9915177765746255
505,ZCTA5 80302,11888,4581,35,117,687,3742,7307,66,436,3330,3475,80302,11787,0.9915040376850606
506,ZCTA5 75201,9532,1123,4,33,64,1022,8409,77,275,1372,6685,75201,9451,0.991502308015107
507,ZCTA5 14802,351,125,0,6,16,103,226,3,18,78,127,14802,348,0.9914529914529915
508,ZCTA5 08732,582,473,5,62,139,267,109,0,30,27,52,8732,577,0.9914089347079038
509,ZCTA5 49234,1152,1060,10,200,436,414,92,0,23,36,33,49234,1142,0.9913194444444444
510,ZCTA5 98040,10123,7140,71,201,831,6037,2983,17,313,574,2079,98040,10035,0.9913069248246568
511,ZCTA5 01522,1150,993,10,128,237,618,157,0,36,82,39,1522,1140,0.991304347826087
512,ZCTA5 50244,689,572,6,92,272,202,117,0,33,69,15,50244,683,0.9912917271407837
513,ZCTA5 02421,6766,5216,39,328,337,4512,1550,20,65,194,1271,2421,6707,0.99127992905705
514,ZCTA5 02832,1718,1410,0,274,546,590,308,15,85,122,86,2832,1703,0.9912689173457508
515,ZCTA5 66027,1488,0,0,0,0,0,1488,13,155,338,982,66027,1475,0.991263440860215
516,ZCTA5 80130,9942,7536,46,520,1492,5478,2406,41,237,794,1334,80130,9855,0.9912492456246228
517,ZCTA5 68462,1480,1147,8,234,477,428,333,5,72,155,101,68462,1467,0.9912162162162163
518,ZCTA5 94024,7845,6979,59,120,672,6128,866,10,20,71,765,94024,7776,0.9912045889101339
519,ZCTA5 35243,7724,4708,19,184,773,3732,3016,49,178,666,2123,35243,7656,0.9911962713619886
520,ZCTA5 07649,2719,2393,17,280,430,1666,326,7,36,109,174,7649,2695,0.9911732254505333
521,ZCTA5 01719,2263,1617,20,101,228,1268,646,0,84,155,407,1719,2243,0.9911621741051702
522,ZCTA5 08033,6193,4746,10,340,575,3821,1447,45,343,475,584,8033,6138,0.9911190053285968
523,ZCTA5 97707,2588,1900,3,404,691,802,688,20,232,327,109,97707,2565,0.991112828438949
524,ZCTA5 98112,11471,6277,38,114,652,5473,5194,64,259,1104,3767,98112,11369,0.9911080115072792
525,ZCTA5 07946,1123,1031,10,83,167,771,92,0,47,23,22,7946,1113,0.9910952804986642
526,ZCTA5 84314,336,302,3,120,92,87,34,0,11,8,15,84314,333,0.9910714285714286
527,ZCTA5 92130,19525,12993,83,282,1196,11432,6532,92,347,1127,4966,92130,19350,0.9910371318822023
528,ZCTA5 51355,446,368,4,54,111,199,78,0,4,49,25,51355,442,0.9910313901345291
529,ZCTA5 07852,1556,1339,0,323,338,678,217,14,80,87,36,7852,1542,0.9910025706940874
530,ZCTA5 61877,666,549,6,122,248,173,117,0,25,56,36,61877,660,0.990990990990991
