,zip_codes,Estimate!!Total,Movers Total,%Movers,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
48,30363,3559,1506,0.4231525709468952,33.79099,-84.39918,Atlanta,GA,Georgia,True,,3559,3246.1,13121,Fulton,{'13121':100},Fulton,13121,False,False,America/New_York
49,17550,845,357,0.42248520710059173,40.07597,-76.5832,Maytown,PA,Pennsylvania,True,,889,1737.6,42071,Lancaster,{'42071':100},Lancaster,42071,False,False,America/New_York
50,71110,4798,2012,0.4193413922467695,32.50008,-93.59976,Barksdale Afb,LA,Louisiana,True,,4884,32.3,22015,Bossier,{'22015':100},Bossier,22015,False,False,America/Chicago
51,55101,7179,3000,0.41788549937317176,44.951209999999996,-93.09016,Saint Paul,MN,Minnesota,True,,7234,2647.3,27123,Ramsey,{'27123':100},Ramsey,27123,False,False,America/Chicago
52,98105,48643,20098,0.41317352959315834,47.66068,-122.28403,Seattle,WA,Washington,True,,48861,4108.7,53033,King,{'53033':100},King,53033,False,False,America/Los_Angeles
53,2109,3826,1579,0.4127025614218505,42.364740000000005,-71.05301,Boston,MA,Massachusetts,True,,3853,8401.7,25025,Suffolk,{'25025':100},Suffolk,25025,False,False,America/New_York
54,79607,3148,1298,0.41232528589580686,32.42853,-99.82545999999999,Dyess Afb,TX,Texas,True,,3268,291.6,48441,Taylor,{'48441':100},Taylor,48441,False,False,America/Chicago
55,40510,2012,814,0.40457256461232605,38.06892,-84.60141999999999,Lexington,KY,Kentucky,True,,2022,34.7,21067,Fayette,{'21067':100},Fayette,21067,False,False,America/New_York
56,86017,868,351,0.4043778801843318,34.89802,-111.63621,Munds Park,AZ,Arizona,True,,868,1.9,4005,Coconino,{'04005':100},Coconino,04005,False,False,America/Phoenix
57,19102,4925,1977,0.40142131979695433,39.952890000000004,-75.16548,Philadelphia,PA,Pennsylvania,True,,4937,9619.3,42101,Philadelphia,{'42101':100},Philadelphia,42101,False,False,America/New_York
58,93437,3248,1292,0.3977832512315271,34.73738,-120.54347,Lompoc,CA,California,True,,3379,33.2,6083,Santa Barbara,{'06083':100},Santa Barbara,06083,False,False,America/Los_Angeles
59,15222,4895,1925,0.39325842696629215,40.44763,-79.99336,Pittsburgh,PA,Pennsylvania,True,,4900,1565.2,42003,Allegheny,{'42003':100},Allegheny,42003,False,False,America/New_York
60,64105,4648,1823,0.3922117039586919,39.1048,-94.59108,Kansas City,MO,Missouri,True,,4679,1797.2,29095,Jackson,{'29095':100},Jackson,29095,False,False,America/Chicago
61,32544,1932,756,0.391304347826087,30.427940000000003,-86.69927,Hurlburt Field,FL,Florida,True,,2003,73.9,12091,Okaloosa,{'12091':100},Okaloosa,12091,False,False,America/Chicago
62,48823,50867,19801,0.38927005720801305,42.7619,-84.45391,East Lansing,MI,Michigan,True,,51230,884.1,26065,Ingham,"{'26037':14.5,'26065':85.5}",Ingham|Clinton,26065|26037,False,False,America/Detroit
