,NAME,Estimate!!Total,Estimate!!Total!!Owner occupied,Estimate!!Total!!Owner occupied!!Householder 15 to 24 years,Estimate!!Total!!Owner occupied!!Householder 25 to 34 years,Estimate!!Total!!Owner occupied!!Householder 35 to 44 years,Estimate!!Total!!Owner occupied!!Householder 45 to 54 years,Estimate!!Total!!Owner occupied!!Householder 55 to 59 years,Estimate!!Total!!Owner occupied!!Householder 60 to 64 years,Estimate!!Total!!Owner occupied!!Householder 65 to 74 years,Estimate!!Total!!Owner occupied!!Householder 75 to 84 years,Estimate!!Total!!Owner occupied!!Householder 85 years and over,Estimate!!Total!!Renter occupied,Estimate!!Total!!Renter occupied!!Householder 15 to 24 years,Estimate!!Total!!Renter occupied!!Householder 25 to 34 years,Estimate!!Total!!Renter occupied!!Householder 35 to 44 years,Estimate!!Total!!Renter occupied!!Householder 45 to 54 years,Estimate!!Total!!Renter occupied!!Householder 55 to 59 years,Estimate!!Total!!Renter occupied!!Householder 60 to 64 years,Estimate!!Total!!Renter occupied!!Householder 65 to 74 years,Estimate!!Total!!Renter occupied!!Householder 75 to 84 years,Estimate!!Total!!Renter occupied!!Householder 85 years and over,zip code tabulation area,15-34 Renters,%15-34 Renters
1568,ZCTA5 77070,20053,10010,90,966,1834,2504,1242,691,1716,844,123,10043,1127,3207,2101,1534,432,617,525,232,268,77070,4334,0.2161272627537027
1569,ZCTA5 77008,16262,9594,30,2345,2307,1587,1059,685,915,404,262,6668,633,2881,1057,663,340,411,399,95,189,77008,3514,0.21608658221620958
1570,ZCTA5 14445,3397,1939,7,286,214,346,235,249,326,170,106,1458,265,469,125,251,102,114,104,7,21,14445,734,0.21607300559317044
1571,ZCTA5 01060,6486,2621,15,146,330,521,298,316,706,207,82,3865,374,1027,643,699,317,311,254,121,119,1060,1401,0.2160037002775208
1572,ZCTA5 41014,2822,1255,5,172,242,245,124,167,210,68,22,1567,75,534,205,306,134,103,149,41,20,41014,609,0.21580439404677534
1573,ZCTA5 47020,482,270,25,44,58,29,45,24,29,16,0,212,37,67,50,0,36,0,13,9,0,47020,104,0.2157676348547718
1574,ZCTA5 64854,1451,706,5,80,65,186,82,70,98,107,13,745,68,245,220,79,44,37,43,6,3,64854,313,0.21571330117160578
1575,ZCTA5 28743,881,527,0,0,33,65,71,44,220,81,13,354,101,89,17,76,0,11,30,17,13,28743,190,0.21566401816118047
1576,ZCTA5 48108,10862,5583,22,497,815,1373,557,686,951,463,219,5279,671,1671,942,788,366,391,324,62,64,48108,2342,0.21561406739090408
1577,ZCTA5 19711,19401,12362,107,806,1449,2597,1697,1675,2363,1313,355,7039,1978,2205,866,645,435,117,419,209,165,19711,4183,0.21560744291531364
1578,ZCTA5 30501,9629,3860,23,381,494,628,434,309,615,787,189,5769,372,1704,1221,974,363,414,335,225,161,30501,2076,0.21559871222349153
1579,ZCTA5 92606,8660,3819,17,207,774,1306,423,445,394,202,51,4841,523,1344,1168,808,319,245,269,134,31,92606,1867,0.2155889145496536
1580,ZCTA5 50065,311,201,0,17,21,18,22,32,43,16,32,110,61,6,7,6,5,17,8,0,0,50065,67,0.21543408360128619
1581,ZCTA5 36609,11352,5097,46,531,674,1088,398,635,949,558,218,6255,719,1726,1081,902,562,259,504,282,220,36609,2445,0.21538054968287526
1582,ZCTA5 07522,6074,1324,17,142,176,339,84,166,258,127,15,4750,253,1055,1123,1146,230,379,286,237,41,7522,1308,0.21534408956206783
1583,ZCTA5 23607,8689,3239,0,375,510,422,415,464,520,307,226,5450,554,1317,948,907,513,368,556,192,95,23607,1871,0.2153297272413396
1584,ZCTA5 80210,15206,9255,54,1206,2146,1623,932,1035,1294,615,350,5951,963,2311,1094,429,254,400,116,143,241,80210,3274,0.2153097461528344
1585,ZCTA5 94132,10280,4408,41,147,628,1110,403,413,842,511,313,5872,1007,1206,928,710,276,503,571,402,269,94132,2213,0.21527237354085604
1586,ZCTA5 78754,8192,4255,63,763,1281,652,362,500,470,134,30,3937,213,1550,830,710,165,224,188,17,40,78754,1763,0.2152099609375
1587,ZCTA5 72903,11308,5467,10,382,634,1190,517,671,1169,609,285,5841,792,1641,992,701,422,221,576,329,167,72903,2433,0.2151574106827025
1588,ZCTA5 19604,8196,3886,52,479,625,974,496,255,631,262,112,4310,275,1487,782,725,290,251,415,69,16,19604,1762,0.2149829184968277
1589,ZCTA5 23504,7658,2514,22,448,389,452,242,275,364,208,114,5144,433,1213,1057,675,538,365,482,253,128,23504,1646,0.21493862627317836
1590,ZCTA5 77065,15104,7033,60,750,1192,1613,999,724,1092,407,196,8071,673,2573,2137,887,388,443,535,112,323,77065,3246,0.21490995762711865
1591,ZCTA5 30344,13128,5287,23,367,668,950,623,753,1207,475,221,7841,584,2237,1607,1484,584,505,612,155,73,30344,2821,0.2148842169408897
1592,ZCTA5 93204,2299,1080,0,41,112,430,134,97,207,59,0,1219,59,435,346,190,68,19,67,35,0,93204,494,0.21487603305785125
1593,ZCTA5 33314,8768,3802,80,348,532,889,480,422,675,280,96,4966,445,1439,823,1170,409,387,201,50,42,33314,1884,0.21487226277372262
1594,ZCTA5 99357,959,450,8,52,60,135,66,37,23,59,10,509,42,164,172,75,24,32,0,0,0,99357,206,0.21480709071949947
1595,ZCTA5 48393,7174,3979,8,488,743,1030,571,406,435,229,69,3195,322,1219,501,507,190,205,182,25,44,48393,1541,0.21480345692779482
1596,ZCTA5 29615,16998,9086,53,754,1008,1679,801,1102,1763,1297,629,7912,1079,2572,1292,1104,564,391,408,202,300,29615,3651,0.21478997529121074
1597,ZCTA5 95012,2482,1069,13,72,262,210,117,129,123,110,33,1413,35,498,356,256,123,72,64,0,9,95012,533,0.21474617244157937
1598,ZCTA5 14228,9437,5034,89,555,812,953,502,555,988,370,210,4403,874,1152,613,483,145,304,465,245,122,14228,2026,0.21468687082759352
1599,ZCTA5 89501,2427,558,11,129,36,93,46,35,137,71,0,1869,84,437,273,248,147,221,325,109,25,89501,521,0.2146683147919242
1600,ZCTA5 90045,15514,8041,24,552,1149,1814,1000,717,1426,769,590,7473,692,2638,1594,1027,405,502,368,123,124,90045,3330,0.21464483692149028
1601,ZCTA5 64501,4603,1908,25,275,161,504,165,222,380,139,37,2695,338,650,432,554,162,199,234,74,52,64501,988,0.21464262437540735
1602,ZCTA5 85712,15901,5876,26,504,504,1055,697,778,1310,772,230,10025,1015,2398,1459,1557,1011,1025,812,452,296,85712,3413,0.21464058864222377
1603,ZCTA5 68111,7954,3204,66,257,367,542,422,421,641,362,126,4750,471,1236,1076,699,366,432,292,170,8,68111,1707,0.21460900176012068
1604,ZCTA5 72368,536,359,0,8,80,57,49,20,106,28,11,177,13,102,2,20,5,24,7,4,0,72368,115,0.21455223880597016
1605,ZCTA5 81435,2317,1214,0,80,207,280,169,168,260,47,3,1103,137,360,277,138,97,49,26,19,0,81435,497,0.21450151057401812
1606,ZCTA5 27612,17775,9584,33,1126,1779,1728,1065,1175,1729,695,254,8191,1066,2745,1613,1169,312,372,337,228,349,27612,3811,0.21440225035161745
1607,ZCTA5 02723,6642,2052,30,87,178,526,286,331,330,177,107,4590,491,933,851,834,412,214,359,364,132,2723,1424,0.21439325504366155
1608,ZCTA5 91604,14808,6797,10,481,1284,1603,804,756,1006,623,230,8011,509,2665,1676,1367,433,368,476,319,198,91604,3174,0.21434359805510536
1609,ZCTA5 93201,378,161,5,15,42,33,23,12,23,4,4,217,11,70,52,37,19,18,5,5,0,93201,81,0.21428571428571427
1610,ZCTA5 44313,11905,6877,58,702,1055,923,837,832,1330,677,463,5028,843,1708,529,653,323,393,294,195,90,44313,2551,0.2142797144057119
1611,ZCTA5 97402,20918,10121,59,1100,1509,1761,1119,1212,2025,971,365,10797,1317,3162,1814,1470,691,771,980,444,148,97402,4479,0.21412180896835262
1612,ZCTA5 10468,26338,2000,25,164,333,471,251,253,298,150,55,24338,673,4964,5067,5463,2361,1676,2556,1134,444,10468,5637,0.21402536259397067
1613,ZCTA5 92627,22180,8235,45,738,1322,1944,825,892,1565,642,262,13945,523,4224,3275,2590,1026,729,997,308,273,92627,4747,0.21402164111812444
1614,ZCTA5 71101,2786,752,0,40,21,146,89,81,155,116,104,2034,169,427,221,299,277,274,292,53,22,71101,596,0.2139267767408471
1615,ZCTA5 03102,13357,5174,44,689,754,1081,751,407,992,275,181,8183,820,2037,1457,1164,711,520,576,564,334,3102,2857,0.21389533577899228
1616,ZCTA5 65802,18918,9879,278,1391,1577,1650,993,1071,1384,1157,378,9039,1942,2104,1816,1230,619,483,639,186,20,65802,4046,0.2138703879902738
1617,ZCTA5 79567,1202,757,37,31,110,95,86,77,219,84,18,445,97,160,23,44,12,23,8,59,19,79567,257,0.21381031613976706
1618,ZCTA5 08701,23877,11624,15,1550,2007,1380,633,913,2121,1989,1016,12253,853,4252,2974,1651,422,343,725,577,456,8701,5105,0.21380407923943545
1619,ZCTA5 77099,17046,6045,49,477,1064,1563,955,656,833,367,81,11001,636,3007,2918,1904,867,518,592,425,134,77099,3643,0.21371582776017833
1620,ZCTA5 91607,13673,4097,0,351,579,1092,442,463,693,308,169,9576,436,2486,2072,1344,708,853,988,468,221,91607,2922,0.21370584363343817
1621,ZCTA5 38629,730,510,0,92,93,117,47,55,71,28,7,220,81,75,6,14,21,21,0,2,0,38629,156,0.2136986301369863
1622,ZCTA5 79009,599,361,19,7,56,107,18,56,57,31,10,238,30,98,46,20,0,8,22,9,5,79009,128,0.21368948247078465
1623,ZCTA5 37919,13064,7079,93,690,1072,1255,674,766,1568,612,349,5985,921,1870,877,725,291,421,481,267,132,37919,2791,0.21364053888548684
1624,ZCTA5 68505,7023,4227,112,569,639,766,307,360,782,404,288,2796,603,896,356,345,175,108,155,98,60,68505,1499,0.21344154919550049
1625,ZCTA5 48342,6495,2441,76,147,306,513,190,361,416,314,118,4054,469,917,767,1051,327,167,264,68,24,48342,1386,0.2133949191685912
1626,ZCTA5 92663,10029,4563,12,224,353,1084,510,609,1017,485,269,5466,344,1796,1107,954,377,268,233,254,133,92663,2140,0.21338119453584606
1627,ZCTA5 21205,5217,1826,10,163,293,348,189,214,368,230,11,3391,137,976,516,709,200,287,399,133,34,21205,1113,0.21334100057504313
1628,ZCTA5 95525,661,396,0,4,52,30,58,73,142,32,5,265,41,100,39,31,0,17,35,0,2,95525,141,0.21331316187594554
1629,ZCTA5 49855,12431,7375,66,602,1077,1425,763,1034,1389,784,235,5056,1574,1077,370,461,271,330,417,370,186,49855,2651,0.21325717963156623
1630,ZCTA5 06608,4395,1006,0,109,116,200,105,199,214,45,18,3389,187,750,827,656,328,309,227,82,23,6608,937,0.21319681456200226
1631,ZCTA5 80010,13626,4772,5,711,827,1102,370,454,774,312,217,8854,655,2249,2502,1677,647,510,448,131,35,80010,2904,0.21312197269925143
1632,ZCTA5 99824,967,512,0,38,97,73,87,69,88,57,3,455,57,149,66,71,38,16,37,21,0,99824,206,0.21302998965873837
1633,ZCTA5 89102,14711,3406,5,124,451,675,365,428,681,462,215,11305,668,2464,2484,1974,1014,674,1388,428,211,89102,3132,0.21290191013527293
1634,ZCTA5 17088,357,233,31,0,54,27,13,19,68,11,10,124,0,76,38,0,0,0,0,10,0,17088,76,0.21288515406162464
1635,ZCTA5 68154,10109,6074,5,723,828,1088,581,784,1352,452,261,4035,611,1541,609,336,217,205,254,127,135,68154,2152,0.21287961222672866
1636,ZCTA5 50314,3947,1625,52,178,347,414,226,93,166,140,9,2322,149,691,555,262,130,142,255,86,52,50314,840,0.2128198631872308
1637,ZCTA5 35476,2829,1357,15,246,228,250,141,98,199,124,56,1472,105,497,310,187,65,132,121,36,19,35476,602,0.2127960410038883
1638,ZCTA5 13206,7597,3881,18,364,447,684,641,487,712,242,286,3716,401,1215,626,656,182,194,247,142,53,13206,1616,0.21271554561010925
1639,ZCTA5 75703,16692,9095,16,824,1225,1457,928,961,2044,1176,464,7597,1544,2006,1190,1032,469,257,538,315,246,75703,3550,0.21267673136832016
1640,ZCTA5 21532,5522,3509,24,326,553,675,407,281,616,405,222,2013,778,396,208,257,71,77,150,48,28,21532,1174,0.2126041289387903
1641,ZCTA5 75228,25797,12019,154,1345,2143,2766,1062,1488,1712,767,582,13778,1638,3846,2649,2152,1077,1001,895,380,140,75228,5484,0.21258285847191533
1642,ZCTA5 28273,14474,6980,45,1054,1609,1958,521,677,815,268,33,7494,661,2415,1671,1611,439,268,351,78,0,28273,3076,0.21251899958546358
1643,ZCTA5 85745,16110,9446,37,604,1282,1730,1017,1252,2215,922,387,6664,1634,1789,1079,699,266,399,516,186,96,85745,3423,0.21247672253258845
1644,ZCTA5 94610,15327,5626,14,268,913,1194,612,607,1238,508,272,9701,248,3008,2560,1335,527,804,836,289,94,94610,3256,0.21243557121419718
1645,ZCTA5 85016,16566,7596,43,771,1189,1674,615,754,1315,967,268,8970,627,2892,1581,1783,541,599,647,130,170,85016,3519,0.21242303513219848
1646,ZCTA5 32064,2354,1196,0,76,117,242,142,215,242,131,31,1158,97,403,356,162,91,0,32,0,17,32064,500,0.21240441801189464
1647,ZCTA5 21211,7561,4084,13,792,914,794,369,326,575,198,103,3477,217,1388,559,363,168,178,177,315,112,21211,1605,0.21227350879513293
1648,ZCTA5 52340,1239,808,14,119,252,134,44,80,66,69,30,431,132,131,45,40,35,0,41,7,0,52340,263,0.2122679580306699
1649,ZCTA5 33619,13156,6005,64,460,897,1443,743,686,1115,422,175,7151,421,2370,1736,1160,472,418,449,102,23,33619,2791,0.21214654910307085
1650,ZCTA5 53224,8109,3957,5,296,658,859,495,617,661,245,121,4152,580,1140,914,576,217,343,199,124,59,53224,1720,0.21211000123319768
1651,ZCTA5 79902,8050,3197,5,113,339,746,475,382,663,374,100,4853,466,1241,717,873,426,166,515,359,90,79902,1707,0.21204968944099378
1652,ZCTA5 85711,16673,8040,60,624,1136,1558,829,1053,1608,775,397,8633,1320,2215,1401,1270,626,547,837,329,88,85711,3535,0.21201943261560607
1653,ZCTA5 78208,1552,539,0,25,87,105,63,79,75,59,46,1013,13,316,239,191,109,66,52,19,8,78208,329,0.21198453608247422
1654,ZCTA5 80917,12880,7385,150,766,1003,1156,1010,973,1508,657,162,5495,784,1946,699,654,293,321,377,243,178,80917,2730,0.21195652173913043
1655,ZCTA5 74116,1477,654,34,58,87,121,70,80,126,47,31,823,109,204,138,167,96,49,60,0,0,74116,313,0.21191604603926878
1656,ZCTA5 71105,9790,5388,71,713,583,899,562,536,1025,684,315,4402,470,1604,883,611,224,236,237,55,82,71105,2074,0.2118488253319714
1657,ZCTA5 71129,5056,2823,38,127,424,525,449,363,576,229,92,2233,133,938,382,369,154,166,14,64,13,71129,1071,0.2118275316455696
1658,ZCTA5 97202,18402,9137,29,1022,2075,2231,738,916,1336,562,228,9265,475,3423,1943,1280,386,543,714,302,199,97202,3898,0.21182480165199435
1659,ZCTA5 14303,2560,1073,9,109,92,184,156,90,259,94,80,1487,143,399,281,218,145,151,87,35,28,14303,542,0.21171875
1660,ZCTA5 85033,15952,7548,130,843,1521,1733,928,810,882,535,166,8404,784,2592,2259,1641,398,430,163,111,26,85033,3376,0.21163490471414242
1661,ZCTA5 71018,619,388,0,13,56,98,74,22,88,23,14,231,9,122,10,23,22,25,20,0,0,71018,131,0.21163166397415187
1662,ZCTA5 08104,8573,3021,20,283,599,471,363,343,494,341,107,5552,284,1530,1073,1070,451,443,497,139,65,8104,1814,0.2115945410008165
1663,ZCTA5 95202,2850,134,12,22,0,8,18,11,44,0,19,2716,176,427,384,493,289,206,455,232,54,95202,603,0.21157894736842106
1664,ZCTA5 46226,17975,8372,66,670,1139,1572,1092,882,1853,802,296,9603,696,3106,2406,1360,756,572,499,128,80,46226,3802,0.21151599443671767
1665,ZCTA5 91405,18009,4788,33,424,771,1151,644,568,780,288,129,13221,676,3133,3309,2681,1150,748,857,409,258,91405,3809,0.21150535843189516
1666,ZCTA5 94601,15430,4880,48,305,1036,1125,551,462,895,316,142,10550,576,2687,2495,2225,842,633,736,267,89,94601,3263,0.2114711600777706
1667,ZCTA5 95203,5498,1955,7,269,326,278,163,310,387,145,70,3543,279,883,786,555,240,310,380,110,0,95203,1162,0.21134958166606038
1668,ZCTA5 75246,1306,149,0,36,0,45,17,25,26,0,0,1157,52,224,192,144,76,122,222,103,22,75246,276,0.2113323124042879
1669,ZCTA5 78257,2754,1537,0,129,286,231,242,192,273,121,63,1217,202,380,244,247,65,5,23,51,0,78257,582,0.2113289760348584
1670,ZCTA5 32216,15592,7469,31,946,1132,1572,718,957,1052,601,460,8123,722,2573,1291,1588,573,696,568,89,23,32216,3295,0.21132632119035402
1671,ZCTA5 96734,15688,9444,76,381,952,1558,1148,1244,2411,1106,568,6244,1008,2307,1345,759,255,153,264,97,56,96734,3315,0.21130800611932687
1672,ZCTA5 99216,11160,5229,71,491,620,1027,788,534,1019,470,209,5931,499,1859,952,602,337,182,567,444,489,99216,2358,0.21129032258064517
1673,ZCTA5 41071,8751,4155,83,665,674,614,532,555,623,319,90,4596,475,1374,713,807,435,263,378,116,35,41071,1849,0.211290138269912
1674,ZCTA5 30297,8883,3575,125,226,414,844,649,264,519,335,199,5308,353,1523,1313,781,439,434,323,76,66,30297,1876,0.2111899133175729
1675,ZCTA5 23888,1037,569,3,16,42,86,60,65,182,99,16,468,95,124,48,86,47,5,27,23,13,23888,219,0.2111861137897782
1676,ZCTA5 89014,16083,7238,61,519,1105,1511,838,1001,1341,619,243,8845,667,2729,1808,1783,530,372,553,360,43,89014,3396,0.21115463532922962
1677,ZCTA5 39211,9917,6296,41,820,947,1230,750,517,962,472,557,3621,431,1663,664,304,147,95,180,94,43,39211,2094,0.21115256630029242
1678,ZCTA5 94111,2160,459,0,28,14,133,9,27,79,128,41,1701,61,395,280,234,85,88,228,207,123,94111,456,0.2111111111111111
1679,ZCTA5 80466,1611,1036,0,52,160,326,146,140,198,0,14,575,117,223,93,29,24,13,66,10,0,80466,340,0.21104903786468032
1680,ZCTA5 02453,11139,4519,10,714,856,952,471,484,462,450,120,6620,538,1812,1406,845,670,311,459,369,210,2453,2350,0.2109704641350211
1681,ZCTA5 76707,5015,2367,55,294,515,588,147,141,370,128,129,2648,344,714,492,416,188,141,247,71,35,76707,1058,0.21096709870388833
1682,ZCTA5 46803,3470,1417,17,153,162,345,191,153,189,106,101,2053,220,512,504,278,185,183,121,50,0,46803,732,0.21095100864553315
1683,ZCTA5 31404,11719,5258,42,417,635,912,648,652,1079,641,232,6461,703,1769,1361,1056,439,389,448,270,26,31404,2472,0.21093949995733424
1684,ZCTA5 27713,22993,12731,43,1859,2705,2632,1438,1344,1874,632,204,10262,1050,3800,2630,1094,440,374,551,134,189,27713,4850,0.21093376244944115
1685,ZCTA5 70115,14808,7502,12,716,1346,1485,814,760,1428,713,228,7306,315,2808,1467,1075,457,444,422,222,96,70115,3123,0.21089951377633712
1686,ZCTA5 27401,7094,2758,33,127,329,558,367,345,577,321,101,4336,338,1158,719,703,441,496,327,117,37,27401,1496,0.21088243586129124
1687,ZCTA5 36612,1660,782,13,18,83,101,67,99,210,153,38,878,30,320,128,129,79,66,86,3,37,36612,350,0.21084337349397592
1688,ZCTA5 98466,11573,5933,28,449,915,1038,611,746,1138,668,340,5640,508,1932,888,865,323,300,538,184,102,98466,2440,0.21083556554048216
1689,ZCTA5 53704,20524,11326,39,1413,2179,2086,1230,1345,2060,748,226,9198,1180,3147,1776,1127,633,486,591,151,107,53704,4327,0.2108263496394465
1690,ZCTA5 01851,10165,4338,11,332,772,1175,589,495,587,243,134,5827,414,1729,1035,1087,476,455,417,214,0,1851,2143,0.21082144613871126
1691,ZCTA5 25082,536,405,0,43,53,125,0,32,115,26,11,131,44,69,18,0,0,0,0,0,0,25082,113,0.21082089552238806
1692,ZCTA5 31605,8003,4987,42,886,877,992,744,363,683,312,88,3016,771,915,522,458,80,88,108,47,27,31605,1686,0.21067099837560915
1693,ZCTA5 65203,24341,14307,70,1426,2394,3152,1364,1810,2280,1377,434,10034,2036,3091,1588,1295,701,429,518,258,118,65203,5127,0.2106322665461567
1694,ZCTA5 74554,774,420,7,52,50,39,34,62,96,56,24,354,58,105,51,62,21,27,19,0,11,74554,163,0.21059431524547803
1695,ZCTA5 89183,13992,6659,108,1105,1657,1587,710,496,687,238,71,7333,629,2317,1614,1224,564,419,402,124,40,89183,2946,0.21054888507718697
1696,ZCTA5 07304,15750,4283,9,301,931,919,470,544,699,324,86,11467,428,2888,2373,2146,1167,974,920,424,147,7304,3316,0.21053968253968253
1697,ZCTA5 02119,11428,2632,32,265,427,612,338,315,455,142,46,8796,525,1881,1336,1546,765,699,1189,717,138,2119,2406,0.21053552677633883
1698,ZCTA5 71752,399,218,8,0,10,26,30,58,52,29,5,181,46,38,26,42,6,11,12,0,0,71752,84,0.21052631578947367
1699,ZCTA5 72301,9588,4693,98,264,619,1023,431,542,910,548,258,4895,462,1556,925,724,359,353,313,178,25,72301,2018,0.21047142261159782
1700,ZCTA5 19901,13988,7594,99,950,579,1374,873,935,1470,1016,298,6394,680,2264,1210,809,400,236,431,257,107,19901,2944,0.21046611381183872
1701,ZCTA5 36606,7921,3995,30,565,588,778,496,394,683,332,129,3926,390,1277,795,816,173,130,210,135,0,36606,1667,0.21045322560282792
1702,ZCTA5 93235,1245,698,14,8,13,192,79,91,212,68,21,547,57,205,36,80,0,95,74,0,0,93235,262,0.21044176706827308
1703,ZCTA5 81620,3399,1966,0,269,493,541,159,233,157,114,0,1433,178,537,381,183,46,97,11,0,0,81620,715,0.21035598705501618
1704,ZCTA5 03060,12155,4110,12,389,530,811,648,485,696,296,243,8045,564,1992,1408,1537,604,550,693,458,239,3060,2556,0.21028383381324559
1705,ZCTA5 93103,7608,3642,19,115,224,577,374,630,793,531,379,3966,287,1312,818,641,258,211,310,97,32,93103,1599,0.21017350157728706
1706,ZCTA5 44306,8922,4005,42,390,477,877,694,383,676,322,144,4917,554,1321,948,940,302,407,333,48,64,44306,1875,0.2101546738399462
1707,ZCTA5 30354,6277,2037,0,309,222,275,231,291,472,113,124,4240,248,1071,1029,622,448,460,226,69,67,30354,1319,0.21013222877170623
1708,ZCTA5 76013,13193,6820,22,552,921,1256,634,829,1181,1023,402,6373,964,1808,1070,883,375,289,385,262,337,76013,2772,0.2101114227241719
1709,ZCTA5 90803,16947,7336,6,266,640,1387,1007,893,1842,862,433,9611,427,3131,2156,1853,706,471,597,202,68,90803,3558,0.209948663480262
1710,ZCTA5 11213,25027,3903,0,218,656,686,471,595,622,458,197,21124,1022,4231,3890,4387,2242,1514,2228,1067,543,11213,5253,0.20989331521956286
1711,ZCTA5 78218,12458,5962,82,559,793,1004,645,754,1062,743,320,6496,772,1841,1455,944,340,552,412,79,101,78218,2613,0.20974474233424306
1712,ZCTA5 84105,9420,6056,21,840,1554,1136,620,592,937,229,127,3364,576,1399,568,368,130,119,133,64,7,84105,1975,0.20966029723991508
1713,ZCTA5 40475,23016,12552,49,1169,2078,2698,1449,1408,2246,956,499,10464,2495,2330,1605,1361,826,654,710,223,260,40475,4825,0.20963677441779632
1714,ZCTA5 19128,16068,9441,14,1566,1610,1681,1046,925,1529,712,358,6627,639,2729,1111,638,309,213,513,289,186,19128,3368,0.20960916106547176
1715,ZCTA5 77034,12371,5410,100,595,1580,1346,505,381,519,237,147,6961,839,1754,2023,1238,418,286,306,83,14,77034,2593,0.20960310403362703
1716,ZCTA5 30092,14530,6857,44,447,1122,1605,943,793,1366,479,58,7673,727,2318,1893,1205,503,522,252,135,118,30092,3045,0.20956641431520992
1717,ZCTA5 01605,10656,3305,69,347,384,845,454,473,456,183,94,7351,493,1740,1655,1067,448,348,746,482,372,1605,2233,0.2095533033033033
1718,ZCTA5 95618,9571,5528,26,328,938,1325,682,632,958,495,144,4043,1023,982,803,559,178,143,152,97,106,95618,2005,0.20948699195486364
1719,ZCTA5 14211,9250,3663,48,202,542,655,462,457,688,422,187,5587,551,1386,1207,828,497,401,504,177,36,14211,1937,0.2094054054054054
1720,ZCTA5 12901,13012,6951,99,491,1145,1069,950,1018,1177,772,230,6061,1370,1354,865,973,426,309,385,276,103,12901,2724,0.20934521979711035
1721,ZCTA5 93304,15060,6672,111,754,880,1265,821,1031,1030,544,236,8388,658,2494,1556,1530,636,393,896,105,120,93304,3152,0.20929614873837982
1722,ZCTA5 98812,1725,895,13,86,122,108,102,181,157,126,0,830,174,187,192,121,53,13,90,0,0,98812,361,0.20927536231884059
1723,ZCTA5 32246,20148,10777,114,1214,1815,2506,1390,879,1769,928,162,9371,1013,3203,2135,1421,722,353,413,102,9,32246,4216,0.20925153861425452
1724,ZCTA5 57012,521,372,45,44,60,64,47,25,47,32,8,149,83,26,12,1,10,6,2,0,9,57012,109,0.2092130518234165
1725,ZCTA5 45810,2553,1536,18,191,259,292,140,181,286,124,45,1017,212,322,105,160,37,23,107,0,51,45810,534,0.209165687426557
1726,ZCTA5 32822,22469,8764,84,525,1323,1484,1114,1191,1539,1148,356,13705,845,3854,3813,2455,757,585,949,391,56,32822,4699,0.2091325826694557
1727,ZCTA5 30038,14252,7075,0,518,1260,2158,758,896,1125,339,21,7177,440,2540,1545,1281,487,539,281,16,48,30038,2980,0.20909346056693798
1728,ZCTA5 54703,17627,10984,63,1580,1885,2031,1333,1116,1620,1077,279,6643,2166,1518,823,766,380,329,283,175,203,54703,3684,0.20899756056050378
1729,ZCTA5 75210,2823,661,62,17,90,70,76,90,93,114,49,2162,69,521,594,436,145,140,155,102,0,75210,590,0.2089975203684024
1730,ZCTA5 02122,8536,3509,15,580,442,994,437,252,481,213,95,5027,281,1503,1241,643,367,275,560,118,39,2122,1784,0.20899718837863168
1731,ZCTA5 23513,11547,5666,51,861,772,1016,680,551,916,450,369,5881,581,1832,1262,838,429,339,387,167,46,23513,2413,0.2089720273664155
1732,ZCTA5 98383,8518,4732,28,224,692,1242,566,468,987,449,76,3786,612,1168,619,413,169,233,238,92,242,98383,1780,0.2089692416060108
1733,ZCTA5 80222,10811,5137,26,683,760,1015,536,517,835,454,311,5674,393,1866,1338,607,294,328,291,344,213,80222,2259,0.2089538433077421
1734,ZCTA5 76704,3173,1068,21,32,81,63,225,183,169,202,92,2105,318,345,327,540,135,159,138,128,15,76704,663,0.20895052001260636
1735,ZCTA5 16412,4204,2878,0,259,493,522,422,368,506,181,127,1326,426,452,218,70,28,28,22,38,44,16412,878,0.20884871550903902
1736,ZCTA5 47304,13351,9163,164,1213,1216,1391,650,1068,1966,1088,407,4188,1885,903,377,338,157,174,127,93,134,47304,2788,0.20882330911542207
1737,ZCTA5 84006,431,341,0,51,53,18,8,49,125,12,25,90,0,90,0,0,0,0,0,0,0,84006,90,0.2088167053364269
1738,ZCTA5 13490,709,518,0,15,158,70,10,16,208,25,16,191,102,46,43,0,0,0,0,0,0,13490,148,0.20874471086036672
1739,ZCTA5 19611,3852,1920,0,256,300,277,234,184,409,140,120,1932,223,581,327,255,145,105,134,149,13,19611,804,0.2087227414330218
1740,ZCTA5 77477,13101,6057,40,575,956,1420,806,843,944,338,135,7044,433,2299,1626,1340,538,356,331,88,33,77477,2732,0.20853369971757882
1741,ZCTA5 37040,17844,10205,227,1905,2164,2067,1030,845,1250,476,241,7639,1133,2588,1359,1333,465,320,309,69,63,37040,3721,0.20852947769558394
1742,ZCTA5 31903,7108,2383,25,86,180,359,323,347,640,295,128,4725,331,1151,816,1084,522,307,393,108,13,31903,1482,0.20849746764209343
1743,ZCTA5 43204,16548,7789,52,878,762,1388,1066,1072,1671,649,251,8759,706,2744,1558,1853,811,372,591,99,25,43204,3450,0.2084844089920232
1744,ZCTA5 20653,9441,5092,58,519,985,1428,627,444,719,208,104,4349,586,1382,1083,455,335,94,190,156,68,20653,1968,0.2084524944391484
