,NAME,Estimate!!Total,Estimate!!Total!!Owner occupied,Estimate!!Total!!Owner occupied!!Householder 15 to 24 years,Estimate!!Total!!Owner occupied!!Householder 25 to 34 years,Estimate!!Total!!Owner occupied!!Householder 35 to 44 years,Estimate!!Total!!Owner occupied!!Householder 45 to 54 years,Estimate!!Total!!Owner occupied!!Householder 55 to 59 years,Estimate!!Total!!Owner occupied!!Householder 60 to 64 years,Estimate!!Total!!Owner occupied!!Householder 65 to 74 years,Estimate!!Total!!Owner occupied!!Householder 75 to 84 years,Estimate!!Total!!Owner occupied!!Householder 85 years and over,Estimate!!Total!!Renter occupied,Estimate!!Total!!Renter occupied!!Householder 15 to 24 years,Estimate!!Total!!Renter occupied!!Householder 25 to 34 years,Estimate!!Total!!Renter occupied!!Householder 35 to 44 years,Estimate!!Total!!Renter occupied!!Householder 45 to 54 years,Estimate!!Total!!Renter occupied!!Householder 55 to 59 years,Estimate!!Total!!Renter occupied!!Householder 60 to 64 years,Estimate!!Total!!Renter occupied!!Householder 65 to 74 years,Estimate!!Total!!Renter occupied!!Householder 75 to 84 years,Estimate!!Total!!Renter occupied!!Householder 85 years and over,zip code tabulation area,15-34 Renters,%15-34 Renters
36,ZCTA5 77840,21152,2707,366,418,115,446,237,281,376,303,165,18445,9175,5371,1744,837,362,359,397,143,57,77840,14546,0.6876891074130106
37,ZCTA5 94305,3459,964,0,17,173,135,96,49,237,180,77,2495,949,1424,73,29,5,0,15,0,0,94305,2373,0.6860364267129229
38,ZCTA5 94535,1057,15,5,0,5,0,5,0,0,0,0,1042,120,605,188,92,32,0,5,0,0,94535,725,0.6859035004730369
39,ZCTA5 43201,12412,2122,74,557,485,315,157,165,229,82,58,10290,4844,3665,738,472,208,230,117,4,12,43201,8509,0.6855462455688044
40,ZCTA5 99703,2017,12,0,0,0,12,0,0,0,0,0,2005,545,836,508,96,20,0,0,0,0,99703,1381,0.6846802181457611
41,ZCTA5 36362,1246,0,0,0,0,0,0,0,0,0,0,1246,139,713,250,134,10,0,0,0,0,36362,852,0.6837881219903692
42,ZCTA5 43210,335,0,0,0,0,0,0,0,0,0,0,335,11,218,64,22,5,15,0,0,0,43210,229,0.6835820895522388
43,ZCTA5 99011,759,0,0,0,0,0,0,0,0,0,0,759,120,397,187,50,5,0,0,0,0,99011,517,0.6811594202898551
44,ZCTA5 60088,1109,0,0,0,0,0,0,0,0,0,0,1109,125,626,157,41,84,39,37,0,0,60088,751,0.6771866546438232
45,ZCTA5 84056,936,4,0,0,0,4,0,0,0,0,0,932,161,465,230,60,10,6,0,0,0,84056,626,0.6688034188034188
46,ZCTA5 53715,5106,814,0,123,102,145,104,89,127,101,23,4292,2634,735,292,271,134,55,106,57,8,53715,3369,0.6598119858989424
47,ZCTA5 79607,628,0,0,0,0,0,0,0,0,0,0,628,120,292,195,20,0,0,1,0,0,79607,412,0.6560509554140127
48,ZCTA5 02134,8205,1057,18,251,78,194,80,197,131,79,29,7148,1682,3684,598,365,90,188,315,215,11,2134,5366,0.6539914686166971
49,ZCTA5 92617,3991,953,0,0,240,231,149,117,117,88,11,3038,1392,1191,255,98,40,48,0,0,14,92617,2583,0.6472062139814583
50,ZCTA5 84606,10391,2341,146,511,551,421,162,163,193,165,29,8050,4692,2032,542,399,140,128,78,39,0,84606,6724,0.6470984505822346
51,ZCTA5 80902,2995,12,0,12,0,0,0,0,0,0,0,2983,563,1373,838,187,9,13,0,0,0,80902,1936,0.6464106844741235
52,ZCTA5 65473,2101,19,0,0,0,13,6,0,0,0,0,2082,788,559,533,157,22,16,7,0,0,65473,1347,0.6411232746311281
53,ZCTA5 85708,1230,19,0,0,0,0,0,0,19,0,0,1211,234,554,355,36,11,21,0,0,0,85708,788,0.640650406504065
54,ZCTA5 55414,11532,1983,62,182,227,408,241,216,445,140,62,9549,4400,2959,894,565,198,238,206,71,18,55414,7359,0.6381373569198752
55,ZCTA5 94704,7998,853,14,77,86,160,98,60,239,88,31,7145,3124,1956,574,464,336,211,345,90,45,94704,5080,0.6351587896974243
56,ZCTA5 75207,1494,9,0,0,0,0,0,0,0,9,0,1485,84,864,208,136,73,71,27,22,0,75207,948,0.6345381526104418
57,ZCTA5 02215,7553,810,40,201,171,150,74,63,70,24,17,6743,1559,3224,856,264,323,198,169,92,58,2215,4783,0.6332583079571031
58,ZCTA5 53203,909,125,0,24,30,26,18,19,8,0,0,784,155,420,42,60,46,28,12,21,0,53203,575,0.6325632563256326
59,ZCTA5 77446,719,130,0,4,0,24,14,16,24,43,5,589,327,127,71,38,7,19,0,0,0,77446,454,0.631432545201669
60,ZCTA5 35233,864,119,15,30,20,0,29,10,15,0,0,745,254,287,103,19,38,17,27,0,0,35233,541,0.6261574074074074
61,ZCTA5 73503,1584,6,0,0,0,6,0,0,0,0,0,1578,237,754,465,103,19,0,0,0,0,73503,991,0.6256313131313131
62,ZCTA5 45219,6147,1086,47,118,150,155,136,145,180,128,27,5061,2691,1138,518,349,96,162,87,20,0,45219,3829,0.6229054823491134
63,ZCTA5 20670,363,0,0,0,0,0,0,0,0,0,0,363,29,197,108,13,7,9,0,0,0,20670,226,0.6225895316804407
64,ZCTA5 85613,905,5,0,0,0,5,0,0,0,0,0,900,116,446,292,40,3,0,3,0,0,85613,562,0.6209944751381216
65,ZCTA5 79906,1189,0,0,0,0,0,0,0,0,0,0,1189,232,505,343,73,32,0,4,0,0,79906,737,0.6198486122792263
66,ZCTA5 31905,3589,7,0,7,0,0,0,0,0,0,0,3582,452,1771,890,334,44,56,23,12,0,31905,2223,0.6193925884647534
67,ZCTA5 32227,411,4,0,0,4,0,0,0,0,0,0,407,49,204,106,40,4,4,0,0,0,32227,253,0.6155717761557178
68,ZCTA5 61820,14299,3074,52,293,527,552,311,351,514,323,151,11225,5318,3392,1153,635,315,272,82,28,30,61820,8710,0.6091335058395692
69,ZCTA5 99505,1107,0,0,0,0,0,0,0,0,0,0,1107,187,484,329,80,27,0,0,0,0,99505,671,0.6061427280939476
70,ZCTA5 15232,6174,1686,24,346,212,268,102,167,395,115,57,4488,1188,2544,374,132,90,46,62,37,15,15232,3732,0.6044703595724004
71,ZCTA5 53726,2268,765,0,62,117,221,65,83,162,39,16,1503,862,500,16,67,50,0,8,0,0,53726,1362,0.6005291005291006
72,ZCTA5 53233,4431,179,7,14,23,17,8,22,61,27,0,4252,1716,930,393,418,270,215,212,98,0,53233,2646,0.5971563981042654
73,ZCTA5 44304,1474,154,0,30,30,18,26,0,34,7,9,1320,545,334,211,92,29,22,87,0,0,44304,879,0.596336499321574
74,ZCTA5 24011,329,31,0,6,0,8,8,5,0,4,0,298,52,143,51,31,10,5,6,0,0,24011,195,0.5927051671732523
75,ZCTA5 28544,2416,571,40,29,39,88,116,104,60,59,36,1845,876,553,140,102,107,16,39,12,0,28544,1429,0.5914735099337748
76,ZCTA5 22134,1294,54,3,14,1,8,3,7,12,0,6,1240,265,500,231,142,53,16,15,12,6,22134,765,0.5911901081916537
77,ZCTA5 70820,7223,1678,235,370,269,251,175,187,158,18,15,5545,2834,1415,450,424,92,139,77,103,11,70820,4249,0.5882597258756749
78,ZCTA5 08641,1179,0,0,0,0,0,0,0,0,0,0,1179,155,538,373,105,3,5,0,0,0,8641,693,0.5877862595419847
