,NAME,Estimate!!Total,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from abroad,zip code tabulation area,Movers Total,%Movers
75,ZCTA5 75962,3189,950,1289,20,9,75962,2268,0.7111947318908749
76,ZCTA5 36849,4108,532,882,1386,116,36849,2916,0.7098344693281402
77,ZCTA5 47405,3821,389,1671,571,66,47405,2697,0.7058361685422664
78,ZCTA5 72427,305,200,15,0,0,72427,215,0.7049180327868853
79,ZCTA5 71999,720,81,363,53,10,71999,507,0.7041666666666667
80,ZCTA5 88134,57,40,0,0,0,88134,40,0.7017543859649122
81,ZCTA5 76685,20,0,14,0,0,76685,14,0.7
82,ZCTA5 83844,1906,199,713,330,90,83844,1332,0.6988457502623295
83,ZCTA5 89191,628,7,26,385,17,89191,435,0.6926751592356688
84,ZCTA5 64065,39,4,18,5,0,64065,27,0.6923076923076923
85,ZCTA5 33620,5402,653,2196,550,338,33620,3737,0.6917808219178082
86,ZCTA5 80310,7291,533,2137,1896,476,80310,5042,0.6915375120010973
87,ZCTA5 31698,731,5,440,59,0,31698,504,0.6894664842681258
88,ZCTA5 54985,415,15,266,5,0,54985,286,0.689156626506024
89,ZCTA5 29208,760,101,198,198,26,29208,523,0.6881578947368421
90,ZCTA5 47809,2723,188,1282,391,9,47809,1870,0.6867425633492471
91,ZCTA5 04469,2578,142,799,809,18,4469,1768,0.6858029480217223
92,ZCTA5 44101,610,86,303,29,0,44101,418,0.6852459016393443
93,ZCTA5 87749,219,55,0,95,0,87749,150,0.684931506849315
94,ZCTA5 30602,2824,149,1566,107,103,30602,1925,0.681657223796034
95,ZCTA5 99755,856,24,94,325,139,99755,582,0.6799065420560748
96,ZCTA5 88103,312,0,0,196,16,88103,212,0.6794871794871795
97,ZCTA5 92134,280,55,25,76,34,92134,190,0.6785714285714286
98,ZCTA5 50012,4817,491,1508,1235,34,50012,3268,0.6784305584388624
99,ZCTA5 30118,2180,69,1211,147,50,30118,1477,0.6775229357798165
100,ZCTA5 61625,370,193,50,7,0,61625,250,0.6756756756756757
101,ZCTA5 67150,58,0,0,39,0,67150,39,0.6724137931034483
102,ZCTA5 32508,5354,97,209,3247,44,32508,3597,0.6718341426970489
103,ZCTA5 73102,4996,2392,630,317,4,73102,3343,0.6691353082465973
104,ZCTA5 31081,72,48,0,0,0,31081,48,0.6666666666666666
105,ZCTA5 80913,3753,351,1,1414,735,80913,2501,0.6664002131628031
106,ZCTA5 75207,7813,3985,953,221,16,75207,5175,0.6623576091130168
107,ZCTA5 64101,278,103,30,51,0,64101,184,0.6618705035971223
108,ZCTA5 39762,3015,243,964,694,89,39762,1990,0.6600331674958541
109,ZCTA5 47306,4982,552,2252,467,7,47306,3278,0.6579686872741871
110,ZCTA5 78843,577,0,9,352,18,78843,379,0.6568457538994801
111,ZCTA5 14856,241,158,0,0,0,14856,158,0.6556016597510373
112,ZCTA5 51111,235,74,0,80,0,51111,154,0.6553191489361702
113,ZCTA5 47406,3786,375,1153,875,76,47406,2479,0.6547807712625462
114,ZCTA5 58707,515,87,59,153,38,58707,337,0.654368932038835
115,ZCTA5 76129,2920,530,551,763,61,76129,1905,0.6523972602739726
116,ZCTA5 32461,34,22,0,0,0,32461,22,0.6470588235294118
117,ZCTA5 12161,199,128,0,0,0,12161,128,0.6432160804020101
118,ZCTA5 88125,75,0,0,38,10,88125,48,0.64
119,ZCTA5 58076,355,29,123,75,0,58076,227,0.6394366197183099
120,ZCTA5 47010,249,0,147,11,0,47010,158,0.6345381526104418
121,ZCTA5 70773,224,0,142,0,0,70773,142,0.6339285714285714
122,ZCTA5 75642,71,32,13,0,0,75642,45,0.6338028169014085
123,ZCTA5 20742,6719,192,2663,1256,141,20742,4252,0.6328322667063551
124,ZCTA5 38152,988,295,178,131,21,38152,625,0.6325910931174089
125,ZCTA5 38505,2030,44,1099,92,43,38505,1278,0.6295566502463055
126,ZCTA5 19717,4091,734,218,1600,23,19717,2575,0.6294304571009534
127,ZCTA5 98195,51,17,0,15,0,98195,32,0.6274509803921569
128,ZCTA5 73705,330,0,0,198,9,73705,207,0.6272727272727273
129,ZCTA5 45838,59,7,28,2,0,45838,37,0.6271186440677966
130,ZCTA5 62098,24,0,15,0,0,62098,15,0.625
131,ZCTA5 32228,368,4,94,129,3,32228,230,0.625
132,ZCTA5 93928,820,0,5,444,62,93928,511,0.6231707317073171
133,ZCTA5 22530,45,0,28,0,0,22530,28,0.6222222222222222
134,ZCTA5 83421,336,209,0,0,0,83421,209,0.6220238095238095
135,ZCTA5 40063,291,21,149,11,0,40063,181,0.6219931271477663
136,ZCTA5 63057,66,0,27,14,0,63057,41,0.6212121212121212
137,ZCTA5 49764,190,74,0,44,0,49764,118,0.6210526315789474
138,ZCTA5 23460,2029,101,30,1092,32,23460,1255,0.6185312962050271
139,ZCTA5 29634,5129,82,1788,1275,27,29634,3172,0.6184441411581205
140,ZCTA5 23604,6722,194,173,3375,405,23604,4147,0.6169294852722405
141,ZCTA5 98438,487,8,0,241,51,98438,300,0.6160164271047228
142,ZCTA5 78712,860,151,325,50,0,78712,526,0.6116279069767442
143,ZCTA5 77460,77,17,30,0,0,77460,47,0.6103896103896104
144,ZCTA5 38054,271,0,42,123,0,38054,165,0.6088560885608856
145,ZCTA5 84113,248,65,15,49,21,84113,150,0.6048387096774194
146,ZCTA5 84533,187,0,22,91,0,84533,113,0.6042780748663101
147,ZCTA5 94613,861,82,322,75,41,94613,520,0.6039488966318235
148,ZCTA5 28310,6470,551,123,2928,302,28310,3904,0.6034003091190108
149,ZCTA5 88032,252,152,0,0,0,88032,152,0.6031746031746031
150,ZCTA5 28308,607,87,9,232,38,28308,366,0.6029654036243822
151,ZCTA5 80497,497,0,12,286,0,80497,298,0.5995975855130785
152,ZCTA5 40121,8898,434,441,4048,361,40121,5284,0.5938413126545291
153,ZCTA5 71711,81,15,33,0,0,71711,48,0.5925925925925926
154,ZCTA5 98447,735,134,159,121,21,98447,435,0.5918367346938775
155,ZCTA5 66027,6040,127,379,2877,189,66027,3572,0.5913907284768212
156,ZCTA5 65215,252,41,69,35,4,65215,149,0.5912698412698413
157,ZCTA5 44243,4721,86,1881,679,137,44243,2783,0.589493751323872
158,ZCTA5 76908,2534,0,250,1241,0,76908,1491,0.5883977900552486
159,ZCTA5 45428,335,101,67,29,0,45428,197,0.5880597014925373
160,ZCTA5 81330,94,9,0,46,0,81330,55,0.5851063829787234
161,ZCTA5 88004,819,16,445,16,0,88004,477,0.5824175824175825
162,ZCTA5 55415,4380,1477,503,496,71,55415,2547,0.5815068493150685
163,ZCTA5 84112,1989,311,272,456,116,84112,1155,0.5806938159879337
164,ZCTA5 19902,386,0,0,210,14,19902,224,0.5803108808290155
165,ZCTA5 91210,681,135,196,0,63,91210,394,0.57856093979442
166,ZCTA5 63102,2188,453,399,337,75,63102,1264,0.5776965265082267
167,ZCTA5 98134,804,256,85,104,16,98134,461,0.5733830845771144
168,ZCTA5 20064,2207,229,0,903,132,20064,1264,0.5727231536021749
169,ZCTA5 70076,248,142,0,0,0,70076,142,0.5725806451612904
170,ZCTA5 27531,779,14,54,352,26,27531,446,0.5725288831835686
171,ZCTA5 21717,77,27,17,0,0,21717,44,0.5714285714285714
172,ZCTA5 95443,270,91,21,42,0,95443,154,0.5703703703703704
173,ZCTA5 57799,684,42,209,98,41,57799,390,0.5701754385964912
174,ZCTA5 32603,7195,1194,2371,352,183,32603,4100,0.5698401667824878
175,ZCTA5 91330,3273,1030,530,172,123,91330,1855,0.566758325695081
176,ZCTA5 28547,25137,2591,793,9358,1488,28547,14230,0.5660977841428969
177,ZCTA5 86015,413,219,0,13,1,86015,233,0.5641646489104116
178,ZCTA5 78236,6808,394,232,2432,781,78236,3839,0.5638954171562868
179,ZCTA5 77458,87,49,0,0,0,77458,49,0.5632183908045977
180,ZCTA5 71998,384,22,145,49,0,71998,216,0.5625
181,ZCTA5 46556,7259,1682,353,1730,310,46556,4075,0.5613720898195343
182,ZCTA5 45219,18019,4876,3524,1318,389,45219,10107,0.5609079305177868
183,ZCTA5 78635,464,0,0,260,0,78635,260,0.5603448275862069
184,ZCTA5 74103,2134,792,320,69,12,74103,1193,0.5590440487347704
185,ZCTA5 08528,86,0,48,0,0,8528,48,0.5581395348837209
186,ZCTA5 23709,689,41,47,295,0,23709,383,0.555878084179971
187,ZCTA5 90073,916,347,92,70,0,90073,509,0.5556768558951966
188,ZCTA5 62962,9,0,5,0,0,62962,5,0.5555555555555556
