,NAME,Estimate!!Total,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from abroad,zip code tabulation area,Movers Total,%Movers
774,ZCTA5 79377,233,34,33,0,8,79377,75,0.3218884120171674
775,ZCTA5 80802,314,37,64,0,0,80802,101,0.321656050955414
776,ZCTA5 71245,4796,999,301,190,52,71245,1542,0.32151793160967473
777,ZCTA5 99202,20450,3799,1202,1428,146,99202,6575,0.3215158924205379
778,ZCTA5 23909,448,9,135,0,0,23909,144,0.32142857142857145
779,ZCTA5 96068,193,5,48,9,0,96068,62,0.32124352331606215
780,ZCTA5 92147,551,14,13,126,24,92147,177,0.32123411978221417
781,ZCTA5 30070,464,83,49,17,0,30070,149,0.32112068965517243
782,ZCTA5 21202,20891,3294,2040,962,412,21202,6708,0.3210952084629745
783,ZCTA5 98840,4338,888,200,219,85,98840,1392,0.32088520055325037
784,ZCTA5 79541,985,63,253,0,0,79541,316,0.3208121827411167
785,ZCTA5 57052,346,3,74,32,2,57052,111,0.3208092485549133
786,ZCTA5 19345,689,38,124,55,4,19345,221,0.32075471698113206
787,ZCTA5 98327,9207,864,201,1758,129,98327,2952,0.3206256109481916
788,ZCTA5 80045,889,10,107,161,7,80045,285,0.3205849268841395
789,ZCTA5 75247,730,219,15,0,0,75247,234,0.32054794520547947
790,ZCTA5 93243,1938,511,51,59,0,93243,621,0.3204334365325077
791,ZCTA5 90012,35755,8956,1085,881,530,90012,11452,0.3202908684100126
792,ZCTA5 57426,50,12,4,0,0,57426,16,0.32
793,ZCTA5 99144,25,0,8,0,0,99144,8,0.32
794,ZCTA5 87558,419,22,5,107,0,87558,134,0.3198090692124105
795,ZCTA5 72801,19359,3580,2139,343,126,72801,6188,0.31964460974223874
796,ZCTA5 94971,288,0,85,7,0,94971,92,0.3194444444444444
797,ZCTA5 98225,49559,9081,4743,1723,284,98225,15831,0.31943743820496784
798,ZCTA5 84102,17859,3340,785,1085,488,84102,5698,0.3190548182988969
799,ZCTA5 43402,31973,6271,2903,697,324,43402,10195,0.31886279047946703
800,ZCTA5 43740,273,79,8,0,0,43740,87,0.31868131868131866
801,ZCTA5 27014,848,88,140,42,0,27014,270,0.31839622641509435
802,ZCTA5 60605,27243,5156,834,2204,476,60605,8670,0.31824688910912896
803,ZCTA5 79350,412,110,21,0,0,79350,131,0.3179611650485437
804,ZCTA5 38738,3608,20,1065,62,0,38738,1147,0.3179046563192905
805,ZCTA5 44902,4768,1010,418,86,0,44902,1514,0.3175335570469799
806,ZCTA5 55401,9518,1402,379,721,520,55401,3022,0.3175036772431183
807,ZCTA5 04541,41,0,0,13,0,4541,13,0.3170731707317073
808,ZCTA5 04473,8117,1459,516,563,35,4473,2573,0.31698903535789086
809,ZCTA5 16803,25544,3747,1869,1179,1301,16803,8096,0.3169433134982775
810,ZCTA5 25093,278,88,0,0,0,25093,88,0.31654676258992803
811,ZCTA5 43202,20920,4422,867,663,667,43202,6619,0.31639579349904395
812,ZCTA5 08640,7703,611,507,1159,160,8640,2437,0.3163702453589511
813,ZCTA5 73131,3797,710,399,92,0,73131,1201,0.3163023439557545
814,ZCTA5 59064,272,86,0,0,0,59064,86,0.3161764705882353
815,ZCTA5 78229,31541,6569,1763,841,795,78229,9968,0.3160330997748962
816,ZCTA5 60969,57,18,0,0,0,60969,18,0.3157894736842105
817,ZCTA5 91708,3867,231,919,12,59,91708,1221,0.3157486423584174
818,ZCTA5 33716,17817,2712,1079,1353,480,33716,5624,0.315653589268676
819,ZCTA5 23505,28815,4022,2423,2145,498,23505,9088,0.31539128925906645
820,ZCTA5 23665,6018,135,303,1122,338,23665,1898,0.3153871718178797
821,ZCTA5 29941,587,74,15,89,7,29941,185,0.3151618398637138
822,ZCTA5 63101,3307,431,246,305,60,63101,1042,0.3150892047172664
823,ZCTA5 77446,6097,237,1531,99,54,77446,1921,0.31507298671477774
824,ZCTA5 44106,25575,4948,712,1925,471,44106,8056,0.31499511241446726
825,ZCTA5 28607,35378,4645,5303,1124,66,28607,11138,0.3148284244445701
826,ZCTA5 43604,8787,2105,288,351,21,43604,2765,0.3146693979742802
827,ZCTA5 40737,916,45,243,0,0,40737,288,0.314410480349345
828,ZCTA5 92618,42414,6780,2619,2299,1636,92618,13334,0.31437732824067527
829,ZCTA5 47325,560,0,176,0,0,47325,176,0.3142857142857143
830,ZCTA5 85054,6850,1115,86,775,175,85054,2151,0.31401459854014596
831,ZCTA5 73855,86,27,0,0,0,73855,27,0.313953488372093
832,ZCTA5 28204,6662,1329,236,441,85,28204,2091,0.31386970879615733
833,ZCTA5 92258,778,62,76,20,86,92258,244,0.31362467866323906
834,ZCTA5 63936,947,131,166,0,0,63936,297,0.3136219640971489
835,ZCTA5 28262,42767,6400,3197,2426,1383,28262,13406,0.31346599013257886
836,ZCTA5 47305,3449,755,274,52,0,47305,1081,0.31342418092200636
837,ZCTA5 22202,24705,1643,1282,3715,1100,22202,7740,0.3132969034608379
838,ZCTA5 32832,24052,3958,1505,1144,928,32832,7535,0.31327956095127224
839,ZCTA5 69142,83,0,25,0,1,69142,26,0.3132530120481928
840,ZCTA5 76253,281,0,88,0,0,76253,88,0.31316725978647686
841,ZCTA5 80303,24546,4295,1377,1705,295,80303,7672,0.3125560172736902
842,ZCTA5 36104,8268,1411,508,639,26,36104,2584,0.31253023705853894
843,ZCTA5 28525,2913,871,35,4,0,28525,910,0.312392722279437
844,ZCTA5 72522,522,163,0,0,0,72522,163,0.31226053639846746
845,ZCTA5 01267,7955,1328,221,733,202,1267,2484,0.31225644248900064
846,ZCTA5 71254,6422,353,1457,193,0,71254,2003,0.31189660541887265
847,ZCTA5 41547,449,120,0,0,20,41547,140,0.311804008908686
848,ZCTA5 94130,3047,159,464,312,15,94130,950,0.31178208073514935
849,ZCTA5 93592,77,0,24,0,0,93592,24,0.3116883116883117
850,ZCTA5 55454,9898,1298,836,735,215,55454,3084,0.3115780965851687
851,ZCTA5 28532,21712,2844,1039,2673,200,28532,6756,0.3111643330876934
852,ZCTA5 37915,5249,869,256,482,26,37915,1633,0.3111068775004763
853,ZCTA5 99363,370,0,0,115,0,99363,115,0.3108108108108108
854,ZCTA5 59535,74,5,0,18,0,59535,23,0.3108108108108108
855,ZCTA5 42101,60481,9851,5789,2798,354,42101,18792,0.31070914832757396
856,ZCTA5 16672,206,64,0,0,0,16672,64,0.3106796116504854
857,ZCTA5 72701,43396,6627,3157,3416,273,72701,13473,0.310466402433404
858,ZCTA5 76559,5665,979,214,553,12,76559,1758,0.3103265666372462
859,ZCTA5 27607,29414,4352,3365,1095,315,27607,9127,0.3102944176242606
860,ZCTA5 76541,17899,3159,1005,1117,271,76541,5552,0.3101849265322085
861,ZCTA5 31313,40042,5508,2307,3761,832,31313,12408,0.30987463163678136
862,ZCTA5 59867,71,0,0,22,0,59867,22,0.30985915492957744
863,ZCTA5 47303,25264,5328,1779,691,30,47303,7828,0.3098480050664978
864,ZCTA5 20004,1931,187,0,339,72,20004,598,0.3096841015018125
865,ZCTA5 92135,646,27,28,131,14,92135,200,0.30959752321981426
866,ZCTA5 62452,420,38,92,0,0,62452,130,0.30952380952380953
867,ZCTA5 59411,666,12,62,83,49,59411,206,0.30930930930930933
868,ZCTA5 77412,55,17,0,0,0,77412,17,0.3090909090909091
869,ZCTA5 70554,5580,1379,331,0,14,70554,1724,0.3089605734767025
870,ZCTA5 12604,603,32,33,75,46,12604,186,0.30845771144278605
871,ZCTA5 75965,18108,2996,2332,212,37,75965,5577,0.30798542080848246
872,ZCTA5 48105,36065,4968,1612,1912,2613,48105,11105,0.307916262304173
873,ZCTA5 22946,182,0,56,0,0,22946,56,0.3076923076923077
874,ZCTA5 83666,26,0,8,0,0,83666,8,0.3076923076923077
875,ZCTA5 30149,1935,0,383,181,31,30149,595,0.30749354005167956
876,ZCTA5 65541,231,0,0,71,0,65541,71,0.30735930735930733
877,ZCTA5 76011,22196,4139,1232,1180,269,76011,6820,0.30726256983240224
878,ZCTA5 97625,319,98,0,0,0,97625,98,0.3072100313479624
879,ZCTA5 96113,1937,247,208,62,78,96113,595,0.307176045431079
880,ZCTA5 97205,7270,1149,305,710,67,97205,2231,0.30687757909215957
881,ZCTA5 77453,352,106,2,0,0,77453,108,0.3068181818181818
882,ZCTA5 32628,4987,553,859,117,0,32628,1529,0.3065971525967516
883,ZCTA5 26680,323,99,0,0,0,26680,99,0.3065015479876161
884,ZCTA5 02113,7517,1165,603,462,73,2113,2303,0.30637222296128774
885,ZCTA5 43983,454,0,94,45,0,43983,139,0.30616740088105726
886,ZCTA5 42762,196,7,0,53,0,42762,60,0.30612244897959184
887,ZCTA5 79854,85,0,17,9,0,79854,26,0.3058823529411765
888,ZCTA5 84101,4761,600,275,527,53,84101,1455,0.3056080655324512
889,ZCTA5 45897,36,11,0,0,0,45897,11,0.3055555555555556
890,ZCTA5 05059,396,121,0,0,0,5059,121,0.3055555555555556
891,ZCTA5 45207,7084,973,488,649,54,45207,2164,0.30547713156408807
892,ZCTA5 49104,740,6,13,137,70,49104,226,0.3054054054054054
893,ZCTA5 75415,190,38,20,0,0,75415,58,0.30526315789473685
894,ZCTA5 17250,95,0,0,29,0,17250,29,0.30526315789473685
895,ZCTA5 42323,852,241,19,0,0,42323,260,0.3051643192488263
896,ZCTA5 10003,54077,4676,2291,7521,2014,10003,16502,0.3051574606579507
897,ZCTA5 22801,40285,4556,5171,1981,582,22801,12290,0.30507633114062305
898,ZCTA5 41014,7005,1185,572,379,0,41014,2136,0.3049250535331906
899,ZCTA5 18101,4293,862,175,211,61,18101,1309,0.30491497787095273
900,ZCTA5 81320,187,0,5,52,0,81320,57,0.3048128342245989
901,ZCTA5 52340,2964,428,151,210,114,52340,903,0.30465587044534415
902,ZCTA5 11042,522,54,105,0,0,11042,159,0.3045977011494253
903,ZCTA5 59801,32327,4994,2570,2100,179,59801,9843,0.30448232127942587
904,ZCTA5 47404,23196,4527,1565,829,141,47404,7062,0.30444904293843766
905,ZCTA5 73145,3187,286,54,521,109,73145,970,0.30436146846564166
906,ZCTA5 67336,1788,216,238,90,0,67336,544,0.3042505592841163
907,ZCTA5 95458,3019,241,655,22,0,95458,918,0.304074196753892
908,ZCTA5 84665,523,50,98,11,0,84665,159,0.30401529636711283
909,ZCTA5 62846,2678,42,748,24,0,62846,814,0.3039581777445855
910,ZCTA5 62093,474,84,35,25,0,62093,144,0.3037974683544304
911,ZCTA5 80720,2779,351,409,77,7,80720,844,0.30370636919755306
912,ZCTA5 98119,25530,4449,624,2278,402,98119,7753,0.3036819428123776
913,ZCTA5 78741,52222,9136,2919,3058,740,78741,15853,0.30356937689096547
914,ZCTA5 82731,89,0,0,27,0,82731,27,0.30337078651685395
915,ZCTA5 75287,53879,4330,8676,1900,1409,75287,16315,0.3028081441749104
916,ZCTA5 63382,4896,244,1111,115,11,63382,1481,0.30249183006535946
917,ZCTA5 66047,19761,2550,1786,1134,507,66047,5977,0.3024644501796468
918,ZCTA5 83302,205,0,38,24,0,83302,62,0.3024390243902439
919,ZCTA5 57481,463,57,43,40,0,57481,140,0.3023758099352052
920,ZCTA5 69026,215,60,1,4,0,69026,65,0.3023255813953488
921,ZCTA5 63108,20551,1922,1504,2309,478,63108,6213,0.30232105493649947
922,ZCTA5 62225,5022,354,103,859,202,62225,1518,0.3022700119474313
923,ZCTA5 08641,4324,244,13,866,184,8641,1307,0.3022664199814986
924,ZCTA5 92385,202,9,52,0,0,92385,61,0.30198019801980197
925,ZCTA5 46135,20642,2881,2416,845,88,46135,6230,0.3018118399379905
926,ZCTA5 30308,17929,2299,1294,1669,144,30308,5406,0.30152267276479444
927,ZCTA5 73103,4846,898,339,215,9,73103,1461,0.3014857614527445
928,ZCTA5 60607,29267,4786,1201,2096,733,60607,8816,0.30122663750982337
929,ZCTA5 37402,4128,921,139,148,34,37402,1242,0.3008720930232558
930,ZCTA5 30346,4896,215,467,382,409,30346,1473,0.3008578431372549
931,ZCTA5 21250,2415,131,417,159,19,21250,726,0.30062111801242236
932,ZCTA5 30454,659,72,0,126,0,30454,198,0.30045523520485584
933,ZCTA5 55114,2903,337,381,120,34,55114,872,0.30037891836031694
934,ZCTA5 14850,64036,8354,3726,5129,2022,14850,19231,0.3003154475607471
935,ZCTA5 27403,22439,2950,2838,812,130,27403,6730,0.2999242390480859
936,ZCTA5 15701,33862,3797,5304,835,219,15701,10155,0.29989368613785367
937,ZCTA5 20001,46239,5804,0,7167,895,20001,13866,0.29987672743787713
938,ZCTA5 15951,481,144,0,0,0,15951,144,0.2993762993762994
939,ZCTA5 59936,401,17,7,96,0,59936,120,0.29925187032418954
940,ZCTA5 35630,32883,5034,3255,1262,289,35630,9840,0.29924276982027187
941,ZCTA5 22311,18594,1600,1752,902,1309,22311,5563,0.29918253199956973
942,ZCTA5 30336,234,19,15,36,0,30336,70,0.29914529914529914
943,ZCTA5 93563,408,36,74,12,0,93563,122,0.29901960784313725
944,ZCTA5 84530,388,8,0,108,0,84530,116,0.29896907216494845
945,ZCTA5 83462,659,119,53,25,0,83462,197,0.29893778452200304
946,ZCTA5 16501,1907,481,42,9,38,16501,570,0.29889879391714735
947,ZCTA5 67762,241,31,36,3,2,67762,72,0.2987551867219917
948,ZCTA5 46601,5929,1146,265,345,15,46601,1771,0.2987012987012987
949,ZCTA5 36856,7325,853,13,1289,31,36856,2186,0.2984300341296928
950,ZCTA5 89119,51695,11157,107,3281,872,89119,15417,0.2982300029016346
951,ZCTA5 40517,36171,7662,1200,1703,222,40517,10787,0.29822233280805066
952,ZCTA5 49788,5932,586,886,243,53,49788,1768,0.2980445043830074
953,ZCTA5 78666,78647,10769,10663,1697,299,78666,23428,0.29788803132986635
954,ZCTA5 13616,2193,236,75,277,65,13616,653,0.297765617875057
955,ZCTA5 19936,279,73,10,0,0,19936,83,0.2974910394265233
956,ZCTA5 08064,192,36,15,6,0,8064,57,0.296875
957,ZCTA5 68821,64,19,0,0,0,68821,19,0.296875
958,ZCTA5 66046,19302,3278,1220,811,420,66046,5729,0.2968086208683038
959,ZCTA5 62289,344,44,50,8,0,62289,102,0.29651162790697677
960,ZCTA5 25826,344,102,0,0,0,25826,102,0.29651162790697677
961,ZCTA5 85701,5324,1113,137,304,24,85701,1578,0.2963936889556724
962,ZCTA5 54022,22857,2165,2312,2015,281,54022,6773,0.29632060200376253
963,ZCTA5 89101,41144,9610,128,2279,172,89101,12189,0.2962521874392378
964,ZCTA5 96075,331,39,50,9,0,96075,98,0.29607250755287007
965,ZCTA5 37351,375,79,0,32,0,37351,111,0.296
966,ZCTA5 98439,5183,593,189,727,25,98439,1534,0.29596758633995757
967,ZCTA5 26621,767,202,13,12,0,26621,227,0.29595827900912647
968,ZCTA5 59076,88,0,26,0,0,59076,26,0.29545454545454547
969,ZCTA5 47401,42957,6136,3229,2106,1216,47401,12687,0.29534185348138836
970,ZCTA5 55814,644,23,84,83,0,55814,190,0.2950310559006211
971,ZCTA5 30326,6030,762,282,636,99,30326,1779,0.29502487562189056
972,ZCTA5 23517,4350,561,308,351,63,23517,1283,0.2949425287356322
973,ZCTA5 50579,2677,186,539,61,3,50579,789,0.2947329099738513
974,ZCTA5 31201,8032,1254,871,208,34,31201,2367,0.2946962151394422
975,ZCTA5 16699,224,53,5,8,0,16699,66,0.29464285714285715
976,ZCTA5 19104,53931,7257,2987,4041,1603,19104,15888,0.2945986538354564
977,ZCTA5 75254,26119,5593,947,790,357,75254,7687,0.29430682644817946
978,ZCTA5 99004,20320,3303,2149,497,28,99004,5977,0.2941437007874016
979,ZCTA5 82932,272,0,30,50,0,82932,80,0.29411764705882354
980,ZCTA5 36602,939,214,15,47,0,36602,276,0.2939297124600639
981,ZCTA5 55404,26897,4495,1656,1377,377,55404,7905,0.2938989478380489
982,ZCTA5 86001,45684,6971,3294,2821,340,86001,13426,0.293888451098853
983,ZCTA5 27701,22455,4107,980,1143,367,27701,6597,0.29378757515030063
984,ZCTA5 59747,177,51,1,0,0,59747,52,0.2937853107344633
985,ZCTA5 32322,4111,313,740,147,7,32322,1207,0.29360252979810264
986,ZCTA5 78118,3977,225,314,94,534,78118,1167,0.2934372642695499
987,ZCTA5 76549,50383,7661,2510,3922,690,76549,14783,0.29341246055217035
988,ZCTA5 33069,27389,5380,1429,588,633,33069,8030,0.2931833947935302
989,ZCTA5 66404,355,12,92,0,0,66404,104,0.29295774647887324
990,ZCTA5 94569,205,0,60,0,0,94569,60,0.2926829268292683
991,ZCTA5 27401,21987,2607,2448,1178,198,27401,6431,0.29249101741938416
992,ZCTA5 63703,8303,1536,584,253,54,63703,2427,0.29230398651089967
993,ZCTA5 36832,24297,2883,2214,1392,612,36832,7101,0.2922583034942586
994,ZCTA5 33613,34706,6372,1891,979,901,33613,10143,0.29225494150867287
995,ZCTA5 76484,921,165,104,0,0,76484,269,0.2920738327904452
996,ZCTA5 78240,58463,11203,2604,1807,1453,78240,17067,0.29192822811008673
997,ZCTA5 80427,764,91,103,29,0,80427,223,0.2918848167539267
998,ZCTA5 70455,860,154,97,0,0,70455,251,0.29186046511627906
999,ZCTA5 37240,778,86,6,130,5,37240,227,0.2917737789203085
1000,ZCTA5 69353,24,0,0,7,0,69353,7,0.2916666666666667
1001,ZCTA5 50140,2803,351,168,258,40,50140,817,0.2914734213342847
1002,ZCTA5 77380,25419,2980,1815,2048,564,77380,7407,0.2913961996931429
1003,ZCTA5 76543,29713,5268,1128,1755,507,76543,8658,0.29138760811765896
1004,ZCTA5 82070,20176,3076,1001,1559,243,82070,5879,0.29138580491673277
1005,ZCTA5 28403,40465,5526,4397,1708,151,28403,11782,0.29116520449771405
1006,ZCTA5 75838,577,133,35,0,0,75838,168,0.29116117850953205
1007,ZCTA5 93252,2714,264,347,69,110,93252,790,0.29108327192336036
1008,ZCTA5 97333,22786,2949,1911,1350,422,97333,6632,0.2910559115246204
1009,ZCTA5 59716,2601,414,128,162,53,59716,757,0.29104190695886195
1010,ZCTA5 25208,897,249,12,0,0,25208,261,0.2909698996655518
1011,ZCTA5 58626,344,57,2,22,19,58626,100,0.29069767441860467
1012,ZCTA5 74074,32107,4916,3165,949,293,74074,9323,0.29037281589684494
1013,ZCTA5 63105,18186,2179,870,1768,463,63105,5280,0.2903332233586275
1014,ZCTA5 10996,6558,161,45,1627,71,10996,1904,0.2903324184202501
1015,ZCTA5 63738,31,9,0,0,0,63738,9,0.2903225806451613
1016,ZCTA5 84058,37578,7068,1500,1699,641,84058,10908,0.2902762254510618
1017,ZCTA5 67210,9520,1905,72,549,234,67210,2760,0.28991596638655465
1018,ZCTA5 92612,32193,4921,2028,721,1663,92612,9333,0.2899077439194856
1019,ZCTA5 14620,24413,3849,1098,1528,600,14620,7075,0.28980461229672716
1020,ZCTA5 02906,27963,3788,435,3163,714,2906,8100,0.28966849050531057
1021,ZCTA5 80910,29746,5965,1020,1443,187,80910,8615,0.2896187722719021
1022,ZCTA5 22201,37094,4767,1835,3347,794,22201,10743,0.28961557125141535
1023,ZCTA5 56627,273,55,14,9,1,56627,79,0.2893772893772894
1024,ZCTA5 20007,27250,3047,0,3782,1056,20007,7885,0.2893577981651376
1025,ZCTA5 75219,23282,3913,1185,1443,192,75219,6733,0.289193368267331
1026,ZCTA5 99756,83,0,3,21,0,99756,24,0.2891566265060241
1027,ZCTA5 16631,90,26,0,0,0,16631,26,0.28888888888888886
1028,ZCTA5 84341,22927,3595,1465,1265,298,84341,6623,0.2888733807301435
1029,ZCTA5 64112,8309,981,538,842,39,64112,2400,0.2888434227945601
1030,ZCTA5 46803,9231,1964,338,302,62,46803,2666,0.2888094464305059
1031,ZCTA5 02111,7894,747,450,701,380,2111,2278,0.2885736002026856
1032,ZCTA5 68948,312,50,39,1,0,68948,90,0.28846153846153844
1033,ZCTA5 50613,43583,7071,4259,1109,132,50613,12571,0.28843815249065
1034,ZCTA5 24440,3322,684,230,44,0,24440,958,0.28838049367850693
1035,ZCTA5 50010,33607,5782,1610,1435,864,50010,9691,0.2883625435177195
1036,ZCTA5 74136,31434,5176,1316,1906,662,74136,9060,0.2882229433097919
1037,ZCTA5 95327,7706,518,1605,98,0,95327,2221,0.2882169737866597
1038,ZCTA5 77004,36688,6514,2075,1139,840,77004,10568,0.2880505887483646
1039,ZCTA5 32256,44747,7745,1392,2954,784,32256,12875,0.2877287862873489
1040,ZCTA5 63501,21049,2842,1909,1003,302,63501,6056,0.28770962991115967
1041,ZCTA5 97880,327,18,36,29,11,97880,94,0.2874617737003058
1042,ZCTA5 25083,794,151,12,65,0,25083,228,0.2871536523929471
1043,ZCTA5 80230,9174,1164,358,931,180,80230,2633,0.28700675822977983
1044,ZCTA5 66441,25687,2540,1551,2570,705,66441,7366,0.2867598396075836
1045,ZCTA5 73105,5361,859,414,188,76,73105,1537,0.2867002424920724
1046,ZCTA5 98337,6903,1023,621,322,13,98337,1979,0.28668694770389685
1047,ZCTA5 75231,40191,8151,1281,752,1338,75231,11522,0.28668109775820455
1048,ZCTA5 73072,46319,4533,4761,3399,584,73072,13277,0.2866426304540253
1049,ZCTA5 93626,1940,231,315,0,10,93626,556,0.2865979381443299
1050,ZCTA5 92058,44206,5794,868,5026,978,92058,12666,0.2865221915577071
1051,ZCTA5 98102,25323,4396,348,2068,439,98102,7251,0.2863404809856652
1052,ZCTA5 89512,26062,5513,813,885,247,89512,7458,0.2861637633335891
1053,ZCTA5 14541,4201,191,972,39,0,14541,1202,0.286122351820995
1054,ZCTA5 89503,28755,4973,1175,1894,185,89503,8227,0.28610676404103635
1055,ZCTA5 77090,38386,8933,658,1114,273,77090,10978,0.28598968373886313
1056,ZCTA5 78066,640,0,183,0,0,78066,183,0.2859375
1057,ZCTA5 95811,5972,802,684,123,98,95811,1707,0.28583389149363697
1058,ZCTA5 75038,29424,3884,1396,1445,1685,75038,8410,0.28582109842305603
1059,ZCTA5 88009,49,0,0,14,0,88009,14,0.2857142857142857
1060,ZCTA5 77007,36998,7149,1492,1416,508,77007,10565,0.28555597599870264
1061,ZCTA5 16507,9249,1606,567,360,108,16507,2641,0.2855443831765596
1062,ZCTA5 37682,687,71,49,66,10,37682,196,0.2852983988355167
1063,ZCTA5 43240,4283,176,599,309,137,43240,1221,0.2850805510156432
1064,ZCTA5 87021,3550,590,181,205,36,87021,1012,0.28507042253521125
1065,ZCTA5 49503,36752,6910,2332,1072,162,49503,10476,0.28504571179799737
1066,ZCTA5 83843,26550,3695,1823,1781,267,83843,7566,0.28497175141242936
1067,ZCTA5 23407,709,0,0,202,0,23407,202,0.2849083215796897
1068,ZCTA5 27959,2883,525,87,209,0,27959,821,0.284772806104752
1069,ZCTA5 08542,5927,662,405,411,209,8542,1687,0.2846296608739666
1070,ZCTA5 45870,232,8,0,58,0,45870,66,0.28448275862068967
1071,ZCTA5 15233,4234,581,486,92,45,15233,1204,0.2843646669815777
1072,ZCTA5 52240,34297,6486,1275,1651,340,52240,9752,0.2843397381695192
1073,ZCTA5 27965,693,25,163,9,0,27965,197,0.2842712842712843
1074,ZCTA5 94105,8984,860,551,967,175,94105,2553,0.28417186108637577
1075,ZCTA5 26560,243,69,0,0,0,26560,69,0.2839506172839506
1076,ZCTA5 15333,2227,379,211,26,16,15333,632,0.28378985181859
1077,ZCTA5 62688,592,67,82,19,0,62688,168,0.28378378378378377
1078,ZCTA5 80247,28528,2817,3019,1632,626,80247,8094,0.28372125630959055
1079,ZCTA5 69352,720,201,0,3,0,69352,204,0.2833333333333333
1080,ZCTA5 54901,38428,5781,4165,866,75,54901,10887,0.2833090454876652
1081,ZCTA5 52245,24866,3373,1805,1765,100,52245,7043,0.2832381565189415
1082,ZCTA5 35205,19927,2921,1350,1006,365,35205,5642,0.28313343704521504
1083,ZCTA5 98326,657,68,118,0,0,98326,186,0.2831050228310502
1084,ZCTA5 58103,48596,8269,948,4236,302,58103,13755,0.2830479874886822
1085,ZCTA5 69337,7035,773,512,705,0,69337,1990,0.2828713574982232
1086,ZCTA5 31901,6258,976,402,351,40,31901,1769,0.2826781719399169
1087,ZCTA5 44080,92,26,0,0,0,44080,26,0.2826086956521739
1088,ZCTA5 96125,184,0,52,0,0,96125,52,0.2826086956521739
1089,ZCTA5 80840,6591,335,30,1439,58,80840,1862,0.28250644818692155
1090,ZCTA5 63633,648,154,29,0,0,63633,183,0.2824074074074074
1091,ZCTA5 96085,85,2,22,0,0,96085,24,0.2823529411764706
1092,ZCTA5 79505,287,33,36,12,0,79505,81,0.28222996515679444
1093,ZCTA5 56387,7174,1106,519,321,78,56387,2024,0.2821299135768051
1094,ZCTA5 30464,78,8,2,12,0,30464,22,0.28205128205128205
1095,ZCTA5 79378,273,67,8,0,2,79378,77,0.28205128205128205
1096,ZCTA5 56436,39,4,0,7,0,56436,11,0.28205128205128205
1097,ZCTA5 20036,5742,571,0,635,411,20036,1617,0.28160919540229884
1098,ZCTA5 46208,22736,3938,1010,1302,151,46208,6401,0.2815358902181562
1099,ZCTA5 80930,1881,149,23,357,0,80930,529,0.2812333864965444
1100,ZCTA5 27709,914,127,92,38,0,27709,257,0.2811816192560175
1101,ZCTA5 19127,6022,882,355,425,31,19127,1693,0.2811358352706742
1102,ZCTA5 97495,1839,294,71,152,0,97495,517,0.2811310494834149
1103,ZCTA5 29401,9601,807,828,963,100,29401,2698,0.2810123945422352
1104,ZCTA5 97869,833,108,0,126,0,97869,234,0.2809123649459784
1105,ZCTA5 75246,2346,507,104,48,0,75246,659,0.28090366581415177
1106,ZCTA5 56325,196,39,16,0,0,56325,55,0.28061224489795916
1107,ZCTA5 45314,5977,228,721,670,58,45314,1677,0.2805755395683453
1108,ZCTA5 54601,50230,7196,4745,1973,173,54601,14087,0.28044993032052556
1109,ZCTA5 40062,214,46,14,0,0,40062,60,0.2803738317757009
1110,ZCTA5 22427,5130,377,242,819,0,22427,1438,0.2803118908382066
1111,ZCTA5 50169,3093,447,313,107,0,50169,867,0.28031037827352084
1112,ZCTA5 06090,842,73,0,163,0,6090,236,0.28028503562945367
1113,ZCTA5 83322,25,0,0,7,0,83322,7,0.28
1114,ZCTA5 54481,28867,3845,3621,457,158,54481,8081,0.27993903072712784
1115,ZCTA5 80924,8484,1398,235,651,91,80924,2375,0.27993870815652994
1116,ZCTA5 16030,343,50,25,21,0,16030,96,0.27988338192419826
1117,ZCTA5 02108,4082,305,328,284,225,2108,1142,0.2797648211660951
1118,ZCTA5 41503,533,9,0,140,0,41503,149,0.2795497185741088
1119,ZCTA5 11109,5886,433,631,476,103,11109,1643,0.27913693510023785
1120,ZCTA5 27110,2601,60,404,225,37,27110,726,0.279123414071511
1121,ZCTA5 52246,23281,3251,1077,1241,926,52246,6495,0.2789828615609295
1122,ZCTA5 44841,606,17,152,0,0,44841,169,0.27887788778877887
1123,ZCTA5 56639,434,25,79,17,0,56639,121,0.27880184331797236
1124,ZCTA5 22401,27831,1929,4139,1334,356,22401,7758,0.2787539075132047
1125,ZCTA5 57601,3825,507,160,315,84,57601,1066,0.2786928104575163
1126,ZCTA5 58711,262,43,30,0,0,58711,73,0.2786259541984733
1127,ZCTA5 95335,201,56,0,0,0,95335,56,0.27860696517412936
1128,ZCTA5 65807,57789,9027,5171,1691,210,65807,16099,0.27858242918202425
1129,ZCTA5 27560,32019,3928,1882,2238,870,27560,8918,0.2785221274868047
1130,ZCTA5 60195,5471,631,144,163,585,60195,1523,0.27837689636263935
1131,ZCTA5 99553,758,14,21,105,71,99553,211,0.2783641160949868
1132,ZCTA5 24013,8415,1015,765,550,12,24013,2342,0.2783125371360666
1133,ZCTA5 60301,2523,430,10,245,17,60301,702,0.27824019024970276
1134,ZCTA5 36025,6709,564,1209,83,7,36025,1863,0.27768668952153824
1135,ZCTA5 92155,490,43,20,46,27,92155,136,0.27755102040816326
